nom_absence,prenom_absence,apogee,total_absences,module,module_id,prof_id,id,promo_year
Benkirane,Fouad,66141774,26,Administration et Optimisation des BD,24,12,1,2019
Benkirane,Fouad,66141774,0,Architecture des Ordinateurs et Assembleur,13,11,1,2019
Benkirane,Fouad,66141774,18,Base de Données Relationnelle-Objet et Répartie,28,5,1,2019
Benkirane,Fouad,66141774,16,Business Intelligence,31,9,1,2019
Benkirane,Fouad,66141774,16,Intelligence Artificielle,23,9,1,2019
Benkirane,Fouad,66141774,16,Java Avancé,26,7,1,2019
Benkirane,Fouad,66141774,23,Langues et Communication II,19,19,1,2019
Benkirane,Fouad,66141774,23,Langues et Communication II,20,18,1,2019
Benkirane,Fouad,66141774,23,Langues et Communication II,21,25,1,2019
Benkirane,Fouad,66141774,8,Langues et Communication III,36,20,1,2019
Benkirane,Fouad,66141774,8,Langues et Communication III,37,17,1,2019
Benkirane,Fouad,66141774,0,Management I,3,21,1,2019
Benkirane,Fouad,66141774,0,Management II,22,26,1,2019
Benkirane,Fouad,66141774,0,Management III,38,27,1,2019
Benkirane,Fouad,66141774,8,Méthodologies et Génie Logiciel,18,4,1,2019
Benkirane,Fouad,66141774,24,Probabilités Statistiques et Calcul Stochastique,4,22,1,2019
Benkirane,Fouad,66141774,25,Programmation C Avancé et Complexité,10,6,1,2019
Benkirane,Fouad,66141774,0,Programmation des Systèmes,33,11,1,2019
Benkirane,Fouad,66141774,15,Programmation Réseaux et Sécurité Informatique,16,13,1,2019
Benkirane,Fouad,66141774,8,Programmation Web I,9,10,1,2019
Benkirane,Fouad,66141774,23,Programmation web II,25,2,1,2019
Benkirane,Fouad,66141774,18,Réseaux informatique II,17,1,1,2019
Benkirane,Fouad,66141774,8,Réseaux Informatiques I,5,8,1,2019
Benkirane,Fouad,66141774,19,Systèmes d’exploitation,11,6,1,2019
Benkirane,Fouad,66141774,6,Systèmes d’Information et Bases de Données Relationnelles,6,15,1,2019
Benkirane,Fouad,66141774,12,Théories des Graphes et Recherche Opérationnelle,7,23,1,2019
Benkirane,Fouad,66141774,17,Théories des Langages et Compilation,12,2,1,2019
Benkirane,Fouad,66141774,22,Urbanisation des Systèmes d’Information,32,12,1,2019
Benkirane,Fouad,66141774,10,Vision Artificielle,27,16,1,2019
Benkirane,Fouad,66141774,7,Électronique Numérique,8,24,1,2019
Benkirane,Fouad,66141774,21,Langues et Communication I,1,17,1,2019
Benkirane,Fouad,66141774,21,Langues et Communication I,2,19,1,2019
Benkirane,Fouad,66141774,0,Modélisation et Programmation Objet,14,11,1,2019
Benkirane,Fouad,66141774,0,Modélisation et Programmation Objet,15,3,1,2019
Benkirane,Fouad,66141774,3,Technologies DotNet et JEE,34,6,1,2019
Benkirane,Fouad,66141774,3,Technologies DotNet et JEE,35,4,1,2019
Zayed,Dounia,34462736,25,Administration et Optimisation des BD,24,12,2,2019
Zayed,Dounia,34462736,7,Architecture des Ordinateurs et Assembleur,13,11,2,2019
Zayed,Dounia,34462736,27,Base de Données Relationnelle-Objet et Répartie,28,5,2,2019
Zayed,Dounia,34462736,20,Business Intelligence,31,9,2,2019
Zayed,Dounia,34462736,23,Intelligence Artificielle,23,9,2,2019
Zayed,Dounia,34462736,28,Java Avancé,26,7,2,2019
Zayed,Dounia,34462736,23,Langues et Communication II,19,19,2,2019
Zayed,Dounia,34462736,23,Langues et Communication II,20,18,2,2019
Zayed,Dounia,34462736,23,Langues et Communication II,21,25,2,2019
Zayed,Dounia,34462736,17,Langues et Communication III,36,20,2,2019
Zayed,Dounia,34462736,17,Langues et Communication III,37,17,2,2019
Zayed,Dounia,34462736,7,Management I,3,21,2,2019
Zayed,Dounia,34462736,8,Management II,22,26,2,2019
Zayed,Dounia,34462736,13,Management III,38,27,2,2019
Zayed,Dounia,34462736,17,Méthodologies et Génie Logiciel,18,4,2,2019
Zayed,Dounia,34462736,26,Probabilités Statistiques et Calcul Stochastique,4,22,2,2019
Zayed,Dounia,34462736,25,Programmation C Avancé et Complexité,10,6,2,2019
Zayed,Dounia,34462736,6,Programmation des Systèmes,33,11,2,2019
Zayed,Dounia,34462736,24,Programmation Réseaux et Sécurité Informatique,16,13,2,2019
Zayed,Dounia,34462736,13,Programmation Web I,9,10,2,2019
Zayed,Dounia,34462736,21,Programmation web II,25,2,2,2019
Zayed,Dounia,34462736,23,Réseaux informatique II,17,1,2,2019
Zayed,Dounia,34462736,17,Réseaux Informatiques I,5,8,2,2019
Zayed,Dounia,34462736,25,Systèmes d’exploitation,11,6,2,2019
Zayed,Dounia,34462736,18,Systèmes d’Information et Bases de Données Relationnelles,6,15,2,2019
Zayed,Dounia,34462736,16,Théories des Graphes et Recherche Opérationnelle,7,23,2,2019
Zayed,Dounia,34462736,21,Théories des Langages et Compilation,12,2,2,2019
Zayed,Dounia,34462736,24,Urbanisation des Systèmes d’Information,32,12,2,2019
Zayed,Dounia,34462736,22,Vision Artificielle,27,16,2,2019
Zayed,Dounia,34462736,14,Électronique Numérique,8,24,2,2019
Zayed,Dounia,34462736,24,Langues et Communication I,1,17,2,2019
Zayed,Dounia,34462736,24,Langues et Communication I,2,19,2,2019
Zayed,Dounia,34462736,3,Modélisation et Programmation Objet,14,11,2,2019
Zayed,Dounia,34462736,3,Modélisation et Programmation Objet,15,3,2,2019
Zayed,Dounia,34462736,12,Technologies DotNet et JEE,34,6,2,2019
Zayed,Dounia,34462736,12,Technologies DotNet et JEE,35,4,2,2019
El-Bay,Dounia,87205287,28,Administration et Optimisation des BD,24,12,3,2019
El-Bay,Dounia,87205287,7,Architecture des Ordinateurs et Assembleur,13,11,3,2019
El-Bay,Dounia,87205287,24,Base de Données Relationnelle-Objet et Répartie,28,5,3,2019
El-Bay,Dounia,87205287,26,Business Intelligence,31,9,3,2019
El-Bay,Dounia,87205287,24,Intelligence Artificielle,23,9,3,2019
El-Bay,Dounia,87205287,30,Java Avancé,26,7,3,2019
El-Bay,Dounia,87205287,25,Langues et Communication II,19,19,3,2019
El-Bay,Dounia,87205287,25,Langues et Communication II,20,18,3,2019
El-Bay,Dounia,87205287,25,Langues et Communication II,21,25,3,2019
El-Bay,Dounia,87205287,15,Langues et Communication III,36,20,3,2019
El-Bay,Dounia,87205287,15,Langues et Communication III,37,17,3,2019
El-Bay,Dounia,87205287,8,Management I,3,21,3,2019
El-Bay,Dounia,87205287,11,Management II,22,26,3,2019
El-Bay,Dounia,87205287,11,Management III,38,27,3,2019
El-Bay,Dounia,87205287,17,Méthodologies et Génie Logiciel,18,4,3,2019
El-Bay,Dounia,87205287,28,Probabilités Statistiques et Calcul Stochastique,4,22,3,2019
El-Bay,Dounia,87205287,27,Programmation C Avancé et Complexité,10,6,3,2019
El-Bay,Dounia,87205287,10,Programmation des Systèmes,33,11,3,2019
El-Bay,Dounia,87205287,21,Programmation Réseaux et Sécurité Informatique,16,13,3,2019
El-Bay,Dounia,87205287,20,Programmation Web I,9,10,3,2019
El-Bay,Dounia,87205287,28,Programmation web II,25,2,3,2019
El-Bay,Dounia,87205287,20,Réseaux informatique II,17,1,3,2019
El-Bay,Dounia,87205287,18,Réseaux Informatiques I,5,8,3,2019
El-Bay,Dounia,87205287,28,Systèmes d’exploitation,11,6,3,2019
El-Bay,Dounia,87205287,18,Systèmes d’Information et Bases de Données Relationnelles,6,15,3,2019
El-Bay,Dounia,87205287,25,Théories des Graphes et Recherche Opérationnelle,7,23,3,2019
El-Bay,Dounia,87205287,26,Théories des Langages et Compilation,12,2,3,2019
El-Bay,Dounia,87205287,29,Urbanisation des Systèmes d’Information,32,12,3,2019
El-Bay,Dounia,87205287,15,Vision Artificielle,27,16,3,2019
El-Bay,Dounia,87205287,17,Électronique Numérique,8,24,3,2019
El-Bay,Dounia,87205287,28,Langues et Communication I,1,17,3,2019
El-Bay,Dounia,87205287,28,Langues et Communication I,2,19,3,2019
El-Bay,Dounia,87205287,7,Modélisation et Programmation Objet,14,11,3,2019
El-Bay,Dounia,87205287,7,Modélisation et Programmation Objet,15,3,3,2019
El-Bay,Dounia,87205287,14,Technologies DotNet et JEE,34,6,3,2019
El-Bay,Dounia,87205287,14,Technologies DotNet et JEE,35,4,3,2019
Cherkaoui,Hajar,61461023,31,Administration et Optimisation des BD,24,12,4,2019
Cherkaoui,Hajar,61461023,6,Architecture des Ordinateurs et Assembleur,13,11,4,2019
Cherkaoui,Hajar,61461023,28,Base de Données Relationnelle-Objet et Répartie,28,5,4,2019
Cherkaoui,Hajar,61461023,26,Business Intelligence,31,9,4,2019
Cherkaoui,Hajar,61461023,21,Intelligence Artificielle,23,9,4,2019
Cherkaoui,Hajar,61461023,31,Java Avancé,26,7,4,2019
Cherkaoui,Hajar,61461023,25,Langues et Communication II,19,19,4,2019
Cherkaoui,Hajar,61461023,25,Langues et Communication II,20,18,4,2019
Cherkaoui,Hajar,61461023,25,Langues et Communication II,21,25,4,2019
Cherkaoui,Hajar,61461023,17,Langues et Communication III,36,20,4,2019
Cherkaoui,Hajar,61461023,17,Langues et Communication III,37,17,4,2019
Cherkaoui,Hajar,61461023,13,Management I,3,21,4,2019
Cherkaoui,Hajar,61461023,13,Management II,22,26,4,2019
Cherkaoui,Hajar,61461023,10,Management III,38,27,4,2019
Cherkaoui,Hajar,61461023,19,Méthodologies et Génie Logiciel,18,4,4,2019
Cherkaoui,Hajar,61461023,29,Probabilités Statistiques et Calcul Stochastique,4,22,4,2019
Cherkaoui,Hajar,61461023,29,Programmation C Avancé et Complexité,10,6,4,2019
Cherkaoui,Hajar,61461023,12,Programmation des Systèmes,33,11,4,2019
Cherkaoui,Hajar,61461023,20,Programmation Réseaux et Sécurité Informatique,16,13,4,2019
Cherkaoui,Hajar,61461023,22,Programmation Web I,9,10,4,2019
Cherkaoui,Hajar,61461023,30,Programmation web II,25,2,4,2019
Cherkaoui,Hajar,61461023,23,Réseaux informatique II,17,1,4,2019
Cherkaoui,Hajar,61461023,23,Réseaux Informatiques I,5,8,4,2019
Cherkaoui,Hajar,61461023,28,Systèmes d’exploitation,11,6,4,2019
Cherkaoui,Hajar,61461023,22,Systèmes d’Information et Bases de Données Relationnelles,6,15,4,2019
Cherkaoui,Hajar,61461023,21,Théories des Graphes et Recherche Opérationnelle,7,23,4,2019
Cherkaoui,Hajar,61461023,26,Théories des Langages et Compilation,12,2,4,2019
Cherkaoui,Hajar,61461023,28,Urbanisation des Systèmes d’Information,32,12,4,2019
Cherkaoui,Hajar,61461023,17,Vision Artificielle,27,16,4,2019
Cherkaoui,Hajar,61461023,19,Électronique Numérique,8,24,4,2019
Cherkaoui,Hajar,61461023,30,Langues et Communication I,1,17,4,2019
Cherkaoui,Hajar,61461023,30,Langues et Communication I,2,19,4,2019
Cherkaoui,Hajar,61461023,9,Modélisation et Programmation Objet,14,11,4,2019
Cherkaoui,Hajar,61461023,9,Modélisation et Programmation Objet,15,3,4,2019
Cherkaoui,Hajar,61461023,16,Technologies DotNet et JEE,34,6,4,2019
Cherkaoui,Hajar,61461023,16,Technologies DotNet et JEE,35,4,4,2019
Kabbour,Dari,92839140,31,Administration et Optimisation des BD,24,12,5,2019
Kabbour,Dari,92839140,20,Architecture des Ordinateurs et Assembleur,13,11,5,2019
Kabbour,Dari,92839140,32,Base de Données Relationnelle-Objet et Répartie,28,5,5,2019
Kabbour,Dari,92839140,28,Business Intelligence,31,9,5,2019
Kabbour,Dari,92839140,28,Intelligence Artificielle,23,9,5,2019
Kabbour,Dari,92839140,32,Java Avancé,26,7,5,2019
Kabbour,Dari,92839140,31,Langues et Communication II,19,19,5,2019
Kabbour,Dari,92839140,31,Langues et Communication II,20,18,5,2019
Kabbour,Dari,92839140,31,Langues et Communication II,21,25,5,2019
Kabbour,Dari,92839140,28,Langues et Communication III,36,20,5,2019
Kabbour,Dari,92839140,28,Langues et Communication III,37,17,5,2019
Kabbour,Dari,92839140,19,Management I,3,21,5,2019
Kabbour,Dari,92839140,21,Management II,22,26,5,2019
Kabbour,Dari,92839140,20,Management III,38,27,5,2019
Kabbour,Dari,92839140,26,Méthodologies et Génie Logiciel,18,4,5,2019
Kabbour,Dari,92839140,32,Probabilités Statistiques et Calcul Stochastique,4,22,5,2019
Kabbour,Dari,92839140,31,Programmation C Avancé et Complexité,10,6,5,2019
Kabbour,Dari,92839140,20,Programmation des Systèmes,33,11,5,2019
Kabbour,Dari,92839140,25,Programmation Réseaux et Sécurité Informatique,16,13,5,2019
Kabbour,Dari,92839140,27,Programmation Web I,9,10,5,2019
Kabbour,Dari,92839140,32,Programmation web II,25,2,5,2019
Kabbour,Dari,92839140,27,Réseaux informatique II,17,1,5,2019
