apogee,nom,prenom,mark,rattrapage
66141774,Benkirane,Fouad,11.13,True
34462736,Zayed,Dounia,10.05,True
87205287,El-Bay,Dounia,10.48,True
61461023,Cherkaoui,Hajar,12.00,True
92839140,Kabbour,Dari,11.71,True
61455530,Ait-Lahcen,Zine,13.34,False
17548754,Fattah,Nawel,18.69,False
89802536,El-Solh,Salim,12.28,False
57501364,Berrah,Najwa,12.00,True
30518617,Hajji,Kawtar,10.58,True
90569199,Berouane,Bilal,10.73,True
22135175,Djamel,Adil,12.30,False
14704189,Arbi,Laila,12.00,True
25415120,Lahrichi,Rama,13.82,False
29962256,El-Rahmani,Fouad,15.99,False
20612869,Mouhammad,Rachid,14.10,False
57761949,Fassi,Zaynab,10.79,True
63830043,Benno,Amal,14.11,False
31295400,Maha,Adil,14.59,False
66110542,Rabi,Samira,12.00,True
40031992,El-Aissawi,Brahim,15.77,False
64259908,Mejri,Hassan,11.26,True
36104001,Mourad,Loubna,10.13,True
40936277,Salhi,Amina,14.64,False
94827451,Aziz,Fatima,12.00,True
82105244,Tajar,Nasser,13.56,False
95588949,Berrah,Saber,15.95,False
90023592,Aissat,Said,12.40,False
68098717,Rkia,Hakim,14.49,False
87956839,Al-Mutawakkil,Rania,13.45,False
46190819,Chennouf,Fadoua,11.20,True
82720273,El-Gassimi,Nadia,12.81,False
75236473,El-Kosari,Jamal,13.57,False
60310362,Ouares,Rania,12.00,True
81788668,El-Bennani,Fadel,16.84,False
85761190,El-Benali,Mounir,11.90,True
11493970,El-Midani,Ali,14.20,False
81811666,Hasnaoui,Dounia,17.29,False
17984924,Berrada,Jawad,14.86,False
73942041,Nissani,Hajar,12.00,True
66376441,Baddi,Asmae,13.32,False
92214212,El-Khader,Hicham,7.70,True
49152306,Ezzedine,Amal,13.91,False
46279776,Idrisi,Nassim,16.10,False
85828368,Ouares,Ines,20.00,False
84931248,Arbi,Laila,14.54,False
54091618,Rifai,Malika,12.36,False
27070390,El-Bekkali,Hassan,10.22,True
60251853,El-Midani,Nour,12.97,False
73801476,Nadi,Othman,14.04,False
25176487,Anas,Wiam,12.00,True
59201033,El-Mansouri,Maha,14.60,False
35062206,El-Mekki,Malak,15.34,False
48334134,El-Idrissi,Hassan,13.97,False
57785456,Maid,Kawtar,13.83,False
57283480,Anas,Younes,13.61,False
95586003,Saghir,Youssef,12.00,True
30843296,El-Mekki,Ines,12.00,True
18388787,Nadi,Hajar,9.60,True
46657796,Maddouri,Fatiha,13.40,False
60121172,El-Chaoui,Imane,12.00,True
41059192,Marhaba,Sanae,13.18,False
72183146,Ouazzani,Siham,10.03,True
13035541,Mouhammad,Loubna,10.56,True
26456283,Jouhari,Amine,11.61,True
30141586,Mejri,Youssef,11.66,True
61072533,Benkirane,Loubna,12.00,True
17583209,El-Qasimi,Zine,9.98,True
74588410,Chafik,Hanane,12.42,False
69535522,El-Basri,Salim,12.80,False
