apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
66141774,Benkirane,Fouad,13.16,False,12.00,14.31
34462736,Zayed,Dounia,12.21,False,12.42,12.00
87205287,El-Bay,Dounia,14.07,False,14.17,13.96
61461023,Cherkaoui,Hajar,13.15,False,14.30,12.00
92839140,Kabbour,Dari,13.01,False,12.00,14.02
61455530,Ait-Lahcen,Zine,14.90,False,15.23,14.57
17548754,Fattah,Nawel,10.64,True,12.70,8.59
89802536,El-Solh,Salim,9.23,True,8.26,10.20
57501364,Berrah,Najwa,13.46,False,14.18,12.74
30518617,Hajji,Kawtar,11.05,True,12.61,9.50
90569199,Berouane,Bilal,13.49,False,15.27,11.71
22135175,Djamel,Adil,14.49,False,15.51,13.47
14704189,Arbi,Laila,12.57,False,13.14,12.00
25415120,Lahrichi,Rama,13.00,False,13.99,12.00
29962256,El-Rahmani,Fouad,14.06,False,14.01,14.11
20612869,Mouhammad,Rachid,13.41,False,12.00,14.81
57761949,Fassi,Zaynab,13.97,False,12.67,15.27
63830043,Benno,Amal,12.00,True,12.00,12.00
31295400,Maha,Adil,14.96,False,12.83,17.10
66110542,Rabi,Samira,14.35,False,12.86,15.84
40031992,El-Aissawi,Brahim,15.13,False,16.77,13.50
64259908,Mejri,Hassan,12.41,False,11.59,13.22
36104001,Mourad,Loubna,13.44,False,13.82,13.05
40936277,Salhi,Amina,14.66,False,15.16,14.16
94827451,Aziz,Fatima,12.00,True,12.00,12.00
82105244,Tajar,Nasser,14.94,False,17.48,12.40
95588949,Berrah,Saber,9.59,True,10.66,8.53
90023592,Aissat,Said,13.55,False,15.40,11.71
68098717,Rkia,Hakim,13.60,False,13.87,13.33
87956839,Al-Mutawakkil,Rania,13.21,False,11.25,15.16
46190819,Chennouf,Fadoua,12.86,False,13.71,12.00
82720273,El-Gassimi,Nadia,13.12,False,14.24,12.00
75236473,El-Kosari,Jamal,11.40,True,12.58,10.22
60310362,Ouares,Rania,10.23,True,12.00,8.47
81788668,El-Bennani,Fadel,12.50,False,12.00,13.00
85761190,El-Benali,Mounir,13.34,False,14.68,11.99
11493970,El-Midani,Ali,13.61,False,12.00,15.22
81811666,Hasnaoui,Dounia,15.54,False,12.89,18.19
17984924,Berrada,Jawad,11.08,True,11.71,10.45
73942041,Nissani,Hajar,14.69,False,12.00,17.38
66376441,Baddi,Asmae,15.39,False,15.72,15.06
92214212,El-Khader,Hicham,15.29,False,12.00,18.59
49152306,Ezzedine,Amal,13.08,False,12.38,13.78
46279776,Idrisi,Nassim,14.12,False,14.16,14.09
85828368,Ouares,Ines,12.51,False,14.85,10.17
84931248,Arbi,Laila,12.00,True,12.00,12.00
54091618,Rifai,Malika,12.52,False,13.04,12.00
27070390,El-Bekkali,Hassan,11.04,True,12.46,9.62
60251853,El-Midani,Nour,13.86,False,13.26,14.46
73801476,Nadi,Othman,16.43,False,18.94,13.91
25176487,Anas,Wiam,11.00,True,13.63,8.36
59201033,El-Mansouri,Maha,13.11,False,14.22,12.00
35062206,El-Mekki,Malak,14.71,False,13.81,15.60
48334134,El-Idrissi,Hassan,11.40,True,12.00,10.80
57785456,Maid,Kawtar,11.89,True,11.78,12.00
57283480,Anas,Younes,16.22,False,15.66,16.78
95586003,Saghir,Youssef,12.80,False,14.22,11.39
30843296,El-Mekki,Ines,13.48,False,12.00,14.96
18388787,Nadi,Hajar,12.55,False,13.58,11.53
46657796,Maddouri,Fatiha,16.10,False,15.72,16.48
60121172,El-Chaoui,Imane,13.50,False,12.00,14.99
41059192,Marhaba,Sanae,10.63,True,8.68,12.59
72183146,Ouazzani,Siham,14.86,False,13.39,16.32
13035541,Mouhammad,Loubna,11.19,True,12.94,9.44
26456283,Jouhari,Amine,13.49,False,13.60,13.38
30141586,Mejri,Youssef,12.00,True,12.00,12.00
61072533,Benkirane,Loubna,12.11,False,11.95,12.28
17583209,El-Qasimi,Zine,11.96,True,12.35,11.57
74588410,Chafik,Hanane,10.35,True,11.70,9.00
69535522,El-Basri,Salim,13.34,False,13.07,13.62
