apogee,nom,prenom,mark,rattrapage
66141774,Benkirane,Fouad,11.85,True
34462736,Zayed,Dounia,14.08,False
87205287,El-Bay,Dounia,12.00,True
61461023,Cherkaoui,Hajar,12.00,True
92839140,Kabbour,Dari,15.64,False
61455530,Ait-Lahcen,Zine,12.00,True
17548754,Fattah,Nawel,11.67,True
89802536,El-Solh,Salim,11.91,True
57501364,Berrah,Najwa,17.96,False
30518617,Hajji,Kawtar,12.00,True
90569199,Berouane,Bilal,12.45,False
22135175,Djamel,Adil,13.85,False
14704189,Arbi,Laila,14.33,False
25415120,Lahrichi,Rama,12.00,True
29962256,El-Rahmani,Fouad,14.32,False
20612869,Mouhammad,Rachid,13.67,False
57761949,Fassi,Zaynab,16.83,False
63830043,Benno,Amal,11.57,True
31295400,Maha,Adil,12.43,False
66110542,Rabi,Samira,12.76,False
40031992,El-Aissawi,Brahim,13.31,False
64259908,Mejri,Hassan,14.47,False
36104001,Mourad,Loubna,20.00,False
40936277,Salhi,Amina,12.00,True
94827451,Aziz,Fatima,12.71,False
82105244,Tajar,Nasser,16.25,False
95588949,Berrah,Saber,14.32,False
90023592,Aissat,Said,6.13,True
68098717,Rkia,Hakim,12.00,True
87956839,Al-Mutawakkil,Rania,14.46,False
46190819,Chennouf,Fadoua,15.00,False
82720273,El-Gassimi,Nadia,15.53,False
75236473,El-Kosari,Jamal,15.00,False
60310362,Ouares,Rania,12.00,True
81788668,El-Bennani,Fadel,14.09,False
85761190,El-Benali,Mounir,16.39,False
11493970,El-Midani,Ali,9.97,True
81811666,Hasnaoui,Dounia,13.60,False
17984924,Berrada,Jawad,12.00,True
73942041,Nissani,Hajar,13.15,False
66376441,Baddi,Asmae,11.36,True
92214212,El-Khader,Hicham,14.66,False
49152306,Ezzedine,Amal,15.60,False
46279776,Idrisi,Nassim,10.57,True
85828368,Ouares,Ines,10.14,True
84931248,Arbi,Laila,10.07,True
54091618,Rifai,Malika,13.67,False
27070390,El-Bekkali,Hassan,15.09,False
60251853,El-Midani,Nour,13.81,False
73801476,Nadi,Othman,13.38,False
25176487,Anas,Wiam,10.61,True
59201033,El-Mansouri,Maha,13.56,False
35062206,El-Mekki,Malak,14.80,False
48334134,El-Idrissi,Hassan,12.00,True
57785456,Maid,Kawtar,12.71,False
57283480,Anas,Younes,13.76,False
95586003,Saghir,Youssef,13.84,False
30843296,El-Mekki,Ines,10.75,True
18388787,Nadi,Hajar,12.98,False
46657796,Maddouri,Fatiha,15.89,False
60121172,El-Chaoui,Imane,11.13,True
41059192,Marhaba,Sanae,13.28,False
72183146,Ouazzani,Siham,15.35,False
13035541,Mouhammad,Loubna,14.80,False
26456283,Jouhari,Amine,14.21,False
30141586,Mejri,Youssef,18.70,False
61072533,Benkirane,Loubna,13.49,False
17583209,El-Qasimi,Zine,18.71,False
74588410,Chafik,Hanane,12.00,True
69535522,El-Basri,Salim,12.00,True
