nom,prenom,apogee,cour1,cour2,cour3,cour4,cour5,cour6,cour7,cour8,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8
Tawfik,Rim,98121898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ouaji,Hassan,36986525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fakir,Hassan,72293590,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1
Bentaib,Youssef,60188590,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
Hasnaoui,Rim,81552017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El-Mekki,Khaled,22767080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tajar,Amina,83432012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belaid,Nadia,66999967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zikhri,Ahmed,91547781,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jouhari,Imad,21954568,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Shami,Said,25407816,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
Cherkaoui,Sofia,72433484,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
Maid,Rania,12819739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rihani,Rama,48365163,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1
El-Kammouni,Fouad,69936758,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
Aziz,Riyad,39739817,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1
El-Ayyad,Ismail,69051062,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Ouchrif,Mouna,45755099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zarrouk,Adil,88904661,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Berrada,Mohcine,82250542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saoud,Hassan,94718756,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Nasser,Faycal,13088211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Housni,Ismail,99509361,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Haddouchi,Amal,77781257,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
Dahbi,Laila,88373562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zarouk,Mohammed,54541498,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
Idrisi,Nour,31741760,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Hassani,Yassine,29089104,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
El-Talbi,Lahcen,36871734,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Lahouari,Latifa,88864305,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Al-Mutawakkil,Ahmed,97419599,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Amari,Sami,90533809,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maki,Mouna,20470749,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Nasser,Hind,32490508,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Tazi,Hanane,34194426,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ammi,Chafia,26189878,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
El-Farouki,Maya,12689768,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zarrouk,Fatima,83025353,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
El-Kherfi,Kenza,23084028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El-Chaoui,Hassan,99230218,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Benbihi,Fatima,63517772,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Al-Hadri,Bilal,73995488,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chafik,Khalil,82721476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benali,Tariq,68828007,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Al-Mutawakkil,Marouane,78967110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faiyaz,Tarek,57797017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alami,Samir,59628491,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bouzid,Hassan,33812858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yachou,Nadia,61844460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goussar,Khadija,12025609,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Essamadi,Mouna,45029871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Akoubri,Rania,90174316,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
El-Khayat,Hamza,24050048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hassani,Rania,77412876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ouazzani,Khaled,73312471,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
Kachkach,Tariq,31665366,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
Ammi,Soufiane,32604569,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
Benali,Mohcine,77469493,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Al-Hadri,Mounir,35632193,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Fikri,Ibrahim,87376313,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Haidari,Maya,74557140,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1
El-Kammouni,Salim,99754555,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Maki,Chafik,91299310,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tazi,Yassine,42903936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chennouf,Meriem,58506985,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Maha,Wafaa,17325324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El-Atmani,Oumayma,58065281,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
Al-Hossaini,Adil,96189982,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Toulal,Ibrahim,96480119,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Khabir,Imad,13872520,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
