apogee,nom,prenom,mark,rattrapage
98121898,Tawfik,Rim,12.58,False
36986525,Ouaji,Hassan,15.74,False
72293590,Fakir,Hassan,16.70,False
60188590,Bentaib,Youssef,15.92,False
81552017,Hasnaoui,Rim,16.75,False
22767080,El-Mekki,Khaled,15.33,False
83432012,Tajar,Amina,12.00,True
66999967,Belaid,Nadia,13.92,False
91547781,Zikhri,Ahmed,12.00,True
21954568,Jouhari,Imad,9.16,True
25407816,Shami,Said,14.24,False
72433484,Cherkaoui,Sofia,15.22,False
12819739,Maid,Rania,14.01,False
48365163,Rihani,Rama,15.13,False
69936758,El-Kammouni,Fouad,10.00,True
39739817,Aziz,Riyad,13.25,False
69051062,El-Ayyad,Ismail,12.00,True
45755099,Ouchrif,Mouna,13.76,False
88904661,Zarrouk,Adil,12.63,False
82250542,Berrada,Mohcine,12.94,False
94718756,Saoud,Hassan,12.00,True
13088211,Nasser,Faycal,13.56,False
99509361,Housni,Ismail,14.59,False
77781257,Haddouchi,Amal,16.71,False
88373562,Dahbi,Laila,15.53,False
54541498,Zarouk,Mohammed,14.03,False
31741760,Idrisi,Nour,12.00,True
29089104,Hassani,Yassine,14.25,False
36871734,El-Talbi,Lahcen,12.00,True
88864305,Lahouari,Latifa,16.30,False
97419599,Al-Mutawakkil,Ahmed,13.50,False
90533809,Amari,Sami,12.00,True
20470749,Maki,Mouna,14.12,False
32490508,Nasser,Hind,12.67,False
34194426,Tazi,Hanane,14.27,False
26189878,Ammi,Chafia,16.10,False
12689768,El-Farouki,Maya,15.89,False
83025353,Zarrouk,Fatima,13.98,False
23084028,El-Kherfi,Kenza,12.72,False
99230218,El-Chaoui,Hassan,12.52,False
63517772,Benbihi,Fatima,11.94,True
73995488,Al-Hadri,Bilal,12.00,True
82721476,Chafik,Khalil,12.00,True
68828007,Benali,Tariq,19.66,False
78967110,Al-Mutawakkil,Marouane,17.06,False
57797017,Faiyaz,Tarek,13.41,False
59628491,Alami,Samir,11.95,True
33812858,Bouzid,Hassan,13.75,False
61844460,Yachou,Nadia,9.23,True
12025609,Goussar,Khadija,15.76,False
45029871,Essamadi,Mouna,19.28,False
90174316,Akoubri,Rania,11.27,True
24050048,El-Khayat,Hamza,15.39,False
77412876,Hassani,Rania,17.89,False
73312471,Ouazzani,Khaled,10.94,True
31665366,Kachkach,Tariq,10.19,True
32604569,Ammi,Soufiane,14.89,False
77469493,Benali,Mohcine,12.98,False
35632193,Al-Hadri,Mounir,14.12,False
87376313,Fikri,Ibrahim,15.30,False
74557140,Haidari,Maya,10.52,True
99754555,El-Kammouni,Salim,14.14,False
91299310,Maki,Chafik,12.00,True
42903936,Tazi,Yassine,12.72,False
58506985,Chennouf,Meriem,13.67,False
17325324,Maha,Wafaa,17.59,False
58065281,El-Atmani,Oumayma,13.45,False
96189982,Al-Hossaini,Adil,12.65,False
96480119,Toulal,Ibrahim,12.39,False
13872520,Khabir,Imad,15.08,False
