apogee,nom,prenom,mark,rattrapage
98121898,Tawfik,Rim,13.76,False
36986525,Ouaji,Hassan,13.21,False
72293590,Fakir,Hassan,11.83,True
60188590,Bentaib,Youssef,12.64,False
81552017,Hasnaoui,Rim,13.94,False
22767080,El-Mekki,Khaled,11.63,True
83432012,Tajar,Amina,14.55,False
66999967,Belaid,Nadia,13.65,False
91547781,Zikhri,Ahmed,20.00,False
21954568,Jouhari,Imad,12.00,True
25407816,Shami,Said,12.52,False
72433484,Cherkaoui,Sofia,11.39,True
12819739,Maid,Rania,12.00,True
48365163,Rihani,Rama,12.56,False
69936758,El-Kammouni,Fouad,11.49,True
39739817,Aziz,Riyad,14.17,False
69051062,El-Ayyad,Ismail,15.48,False
45755099,Ouchrif,Mouna,16.07,False
88904661,Zarrouk,Adil,15.80,False
82250542,Berrada,Mohcine,15.27,False
94718756,Saoud,Hassan,14.19,False
13088211,Nasser,Faycal,12.00,True
99509361,Housni,Ismail,13.26,False
77781257,Haddouchi,Amal,14.14,False
88373562,Dahbi,Laila,14.27,False
54541498,Zarouk,Mohammed,7.71,True
31741760,Idrisi,Nour,12.00,True
29089104,Hassani,Yassine,12.00,True
36871734,El-Talbi,Lahcen,14.80,False
88864305,Lahouari,Latifa,15.76,False
97419599,Al-Mutawakkil,Ahmed,14.07,False
90533809,Amari,Sami,12.28,False
20470749,Maki,Mouna,11.87,True
32490508,Nasser,Hind,17.09,False
34194426,Tazi,Hanane,10.37,True
26189878,Ammi,Chafia,13.30,False
12689768,El-Farouki,Maya,17.50,False
83025353,Zarrouk,Fatima,12.57,False
23084028,El-Kherfi,Kenza,9.16,True
99230218,El-Chaoui,Hassan,12.67,False
63517772,Benbihi,Fatima,12.00,True
73995488,Al-Hadri,Bilal,12.00,True
82721476,Chafik,Khalil,12.67,False
68828007,Benali,Tariq,12.00,True
78967110,Al-Mutawakkil,Marouane,16.81,False
57797017,Faiyaz,Tarek,18.24,False
59628491,Alami,Samir,13.35,False
33812858,Bouzid,Hassan,15.67,False
61844460,Yachou,Nadia,12.00,True
12025609,Goussar,Khadija,14.17,False
45029871,Essamadi,Mouna,12.00,True
90174316,Akoubri,Rania,11.43,True
24050048,El-Khayat,Hamza,15.01,False
77412876,Hassani,Rania,14.06,False
73312471,Ouazzani,Khaled,12.00,True
31665366,Kachkach,Tariq,12.82,False
32604569,Ammi,Soufiane,11.56,True
77469493,Benali,Mohcine,10.28,True
35632193,Al-Hadri,Mounir,13.52,False
87376313,Fikri,Ibrahim,11.40,True
74557140,Haidari,Maya,13.62,False
99754555,El-Kammouni,Salim,14.22,False
91299310,Maki,Chafik,17.55,False
42903936,Tazi,Yassine,11.00,True
58506985,Chennouf,Meriem,8.12,True
17325324,Maha,Wafaa,11.73,True
58065281,El-Atmani,Oumayma,12.42,False
96189982,Al-Hossaini,Adil,13.12,False
96480119,Toulal,Ibrahim,12.67,False
13872520,Khabir,Imad,10.79,True
