apogee,nom,prenom,mark,rattrapage
98121898,Tawfik,Rim,11.21,True
36986525,Ouaji,Hassan,15.05,False
72293590,Fakir,Hassan,14.09,False
60188590,Bentaib,Youssef,16.42,False
81552017,Hasnaoui,Rim,10.84,True
22767080,El-Mekki,Khaled,13.60,False
83432012,Tajar,Amina,11.67,True
66999967,Belaid,Nadia,12.00,True
91547781,Zikhri,Ahmed,14.11,False
21954568,Jouhari,Imad,16.03,False
25407816,Shami,Said,12.90,False
72433484,Cherkaoui,Sofia,12.00,True
12819739,Maid,Rania,10.68,True
48365163,Rihani,Rama,12.00,True
69936758,El-Kammouni,Fouad,13.54,False
39739817,Aziz,Riyad,12.30,False
69051062,El-Ayyad,Ismail,12.00,True
45755099,Ouchrif,Mouna,15.09,False
88904661,Zarrouk,Adil,13.00,False
82250542,Berrada,Mohcine,12.00,True
94718756,Saoud,Hassan,15.64,False
13088211,Nasser,Faycal,10.45,True
99509361,Housni,Ismail,15.12,False
77781257,Haddouchi,Amal,13.94,False
88373562,Dahbi,Laila,16.45,False
54541498,Zarouk,Mohammed,14.10,False
31741760,Idrisi,Nour,13.29,False
29089104,Hassani,Yassine,13.80,False
36871734,El-Talbi,Lahcen,11.81,True
88864305,Lahouari,Latifa,15.36,False
97419599,Al-Mutawakkil,Ahmed,13.55,False
90533809,Amari,Sami,12.00,True
20470749,Maki,Mouna,14.35,False
32490508,Nasser,Hind,15.86,False
34194426,Tazi,Hanane,12.00,True
26189878,Ammi,Chafia,12.60,False
12689768,El-Farouki,Maya,16.32,False
83025353,Zarrouk,Fatima,14.15,False
23084028,El-Kherfi,Kenza,15.72,False
99230218,El-Chaoui,Hassan,15.05,False
63517772,Benbihi,Fatima,14.72,False
73995488,Al-Hadri,Bilal,16.14,False
82721476,Chafik,Khalil,17.77,False
68828007,Benali,Tariq,14.12,False
78967110,Al-Mutawakkil,Marouane,13.04,False
57797017,Faiyaz,Tarek,13.28,False
59628491,Alami,Samir,18.33,False
33812858,Bouzid,Hassan,16.23,False
61844460,Yachou,Nadia,14.17,False
12025609,Goussar,Khadija,12.00,True
45029871,Essamadi,Mouna,12.00,True
90174316,Akoubri,Rania,10.49,True
24050048,El-Khayat,Hamza,15.22,False
77412876,Hassani,Rania,16.14,False
73312471,Ouazzani,Khaled,12.00,True
31665366,Kachkach,Tariq,14.96,False
32604569,Ammi,Soufiane,11.81,True
77469493,Benali,Mohcine,16.98,False
35632193,Al-Hadri,Mounir,15.83,False
87376313,Fikri,Ibrahim,10.60,True
74557140,Haidari,Maya,10.19,True
99754555,El-Kammouni,Salim,12.00,True
91299310,Maki,Chafik,13.37,False
42903936,Tazi,Yassine,17.13,False
58506985,Chennouf,Meriem,13.52,False
17325324,Maha,Wafaa,13.60,False
58065281,El-Atmani,Oumayma,10.43,True
96189982,Al-Hossaini,Adil,13.52,False
96480119,Toulal,Ibrahim,15.55,False
13872520,Khabir,Imad,12.80,False
