apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
98121898,Tawfik,Rim,13.77,False,13.40,14.13
36986525,Ouaji,Hassan,16.52,False,15.79,17.24
72293590,Fakir,Hassan,12.00,True,12.00,12.00
60188590,Bentaib,Youssef,12.82,False,13.64,12.00
81552017,Hasnaoui,Rim,15.02,False,18.03,12.00
22767080,El-Mekki,Khaled,12.55,False,11.37,13.73
83432012,Tajar,Amina,11.84,True,14.08,9.61
66999967,Belaid,Nadia,12.32,False,13.88,10.77
91547781,Zikhri,Ahmed,11.66,True,11.33,12.00
21954568,Jouhari,Imad,12.48,False,15.89,9.07
25407816,Shami,Said,12.24,False,12.48,12.00
72433484,Cherkaoui,Sofia,13.66,False,13.19,14.13
12819739,Maid,Rania,12.94,False,11.31,14.57
48365163,Rihani,Rama,11.32,True,12.00,10.65
69936758,El-Kammouni,Fouad,13.26,False,12.00,14.52
39739817,Aziz,Riyad,12.57,False,13.15,12.00
69051062,El-Ayyad,Ismail,14.81,False,14.08,15.54
45755099,Ouchrif,Mouna,12.54,False,13.08,12.00
88904661,Zarrouk,Adil,15.87,False,16.78,14.96
82250542,Berrada,Mohcine,14.82,False,15.53,14.11
94718756,Saoud,Hassan,15.78,False,14.02,17.53
13088211,Nasser,Faycal,14.65,False,12.42,16.88
99509361,Housni,Ismail,12.29,False,12.00,12.57
77781257,Haddouchi,Amal,12.81,False,13.13,12.49
88373562,Dahbi,Laila,13.04,False,12.25,13.82
54541498,Zarouk,Mohammed,15.54,False,15.48,15.59
31741760,Idrisi,Nour,11.07,True,10.15,12.00
29089104,Hassani,Yassine,12.16,False,12.00,12.33
36871734,El-Talbi,Lahcen,12.77,False,12.00,13.54
88864305,Lahouari,Latifa,12.85,False,12.26,13.44
97419599,Al-Mutawakkil,Ahmed,13.61,False,14.01,13.21
90533809,Amari,Sami,13.59,False,14.83,12.34
20470749,Maki,Mouna,14.36,False,16.00,12.72
32490508,Nasser,Hind,17.33,False,19.44,15.21
34194426,Tazi,Hanane,15.12,False,15.38,14.87
26189878,Ammi,Chafia,13.21,False,12.90,13.52
12689768,El-Farouki,Maya,11.83,True,12.71,10.95
83025353,Zarrouk,Fatima,13.83,False,18.69,8.97
23084028,El-Kherfi,Kenza,12.13,False,11.64,12.62
99230218,El-Chaoui,Hassan,17.02,False,16.13,17.90
63517772,Benbihi,Fatima,14.51,False,13.47,15.55
73995488,Al-Hadri,Bilal,10.41,True,12.00,8.81
82721476,Chafik,Khalil,12.97,False,12.00,13.94
68828007,Benali,Tariq,12.41,False,12.83,12.00
78967110,Al-Mutawakkil,Marouane,14.48,False,14.15,14.82
57797017,Faiyaz,Tarek,10.73,True,9.47,12.00
59628491,Alami,Samir,11.24,True,11.05,11.43
33812858,Bouzid,Hassan,12.03,False,12.30,11.75
61844460,Yachou,Nadia,12.23,False,11.78,12.68
12025609,Goussar,Khadija,11.48,True,10.96,12.00
45029871,Essamadi,Mouna,12.42,False,11.35,13.49
90174316,Akoubri,Rania,14.09,False,14.74,13.43
24050048,El-Khayat,Hamza,14.10,False,15.23,12.96
77412876,Hassani,Rania,11.14,True,13.39,8.89
73312471,Ouazzani,Khaled,12.54,False,13.07,12.00
31665366,Kachkach,Tariq,12.55,False,12.65,12.46
32604569,Ammi,Soufiane,12.63,False,13.27,12.00
77469493,Benali,Mohcine,12.76,False,10.39,15.13
35632193,Al-Hadri,Mounir,12.86,False,13.37,12.35
87376313,Fikri,Ibrahim,11.92,True,12.47,11.37
74557140,Haidari,Maya,14.71,False,15.60,13.83
99754555,El-Kammouni,Salim,11.81,True,14.68,8.94
91299310,Maki,Chafik,13.73,False,12.00,15.46
42903936,Tazi,Yassine,10.15,True,13.77,6.54
58506985,Chennouf,Meriem,10.34,True,11.51,9.18
17325324,Maha,Wafaa,14.36,False,12.00,16.72
58065281,El-Atmani,Oumayma,12.50,False,13.01,12.00
96189982,Al-Hossaini,Adil,11.46,True,10.93,12.00
96480119,Toulal,Ibrahim,15.57,False,18.52,12.63
13872520,Khabir,Imad,13.62,False,12.35,14.88
