ID,Code APO,Nom,Prénom,Sexe,Birthdate,Number of Ajournements,absence_bias
1,98121898,Tawfik,Rim,F,2001-12-25,0,1
2,36986525,Ouaji,Hassan,M,2001-07-13,0,1
3,72293590,Fakir,Hassan,M,2001-04-05,0,5
4,60188590,Bentaib,Youssef,M,2001-06-03,0,5
5,81552017,Hasnaoui,Rim,F,2001-06-12,0,1
6,22767080,El-Mekki,Khaled,M,2001-01-10,0,3
7,83432012,Tajar,Amina,F,2001-06-03,0,3
8,66999967,Belaid,Nadia,F,2001-12-12,0,2
9,91547781,Zikhri,Ahmed,M,2001-08-17,0,2
10,21954568,Jouhari,Imad,M,2001-03-30,0,5
11,25407816,Shami,Said,M,2001-01-16,0,4
12,72433484,Cherkaoui,Sofia,F,2001-07-10,0,5
13,12819739,Maid,Rania,F,2001-01-10,0,3
14,48365163,Rihani,Rama,F,2001-06-06,0,3
15,69936758,El-Kammouni,Fouad,M,2001-08-04,0,4
16,39739817,Aziz,Riyad,M,2001-11-14,0,3
17,69051062,El-Ayyad,Ismail,M,2001-04-22,0,2
18,45755099,Ouchrif,Mouna,F,2001-11-20,0,2
19,88904661,Zarrouk,Adil,M,2001-11-02,0,1
20,82250542,Berrada,Mohcine,M,2001-01-15,0,1
21,94718756,Saoud,Hassan,M,2001-08-29,0,3
22,13088211,Nasser,Faycal,M,2001-04-16,0,3
23,99509361,Housni,Ismail,M,2001-10-06,0,5
24,77781257,Haddouchi,Amal,F,2001-10-06,0,2
25,88373562,Dahbi,Laila,F,2001-09-24,0,1
26,54541498,Zarouk,Mohammed,M,2001-01-27,0,5
27,31741760,Idrisi,Nour,F,2001-02-12,0,4
28,29089104,Hassani,Yassine,M,2001-04-07,0,3
29,36871734,El-Talbi,Lahcen,M,2001-11-28,0,4
30,88864305,Lahouari,Latifa,F,2001-03-27,0,2
31,97419599,Al-Mutawakkil,Ahmed,M,2001-08-06,0,3
32,90533809,Amari,Sami,M,2001-08-31,0,2
33,20470749,Maki,Mouna,F,2001-08-08,0,3
34,32490508,Nasser,Hind,F,2001-09-29,0,4
35,34194426,Tazi,Hanane,F,2001-03-31,0,5
36,26189878,Ammi,Chafia,F,2001-05-05,0,1
37,12689768,El-Farouki,Maya,F,2001-03-26,0,2
38,83025353,Zarrouk,Fatima,F,2001-04-01,0,1
39,23084028,El-Kherfi,Kenza,F,2001-05-24,0,3
40,99230218,El-Chaoui,Hassan,M,2001-06-19,0,4
41,63517772,Benbihi,Fatima,F,2001-08-22,0,3
42,73995488,Al-Hadri,Bilal,M,2001-06-17,0,3
43,82721476,Chafik,Khalil,M,2001-09-03,0,1
44,68828007,Benali,Tariq,M,2001-04-07,0,1
45,78967110,Al-Mutawakkil,Marouane,M,2001-07-12,0,2
46,57797017,Faiyaz,Tarek,M,2001-02-16,0,2
47,59628491,Alami,Samir,M,2001-11-27,0,3
48,33812858,Bouzid,Hassan,M,2001-08-07,0,2
49,61844460,Yachou,Nadia,F,2001-07-30,0,1
50,12025609,Goussar,Khadija,F,2001-06-15,0,5
51,45029871,Essamadi,Mouna,F,2001-04-25,0,3
52,90174316,Akoubri,Rania,F,2001-07-14,0,4
53,24050048,El-Khayat,Hamza,M,2001-07-26,0,1
54,77412876,Hassani,Rania,F,2001-07-05,0,1
55,73312471,Ouazzani,Khaled,M,2001-05-26,0,2
56,31665366,Kachkach,Tariq,M,2001-02-08,0,5
57,32604569,Ammi,Soufiane,M,2001-11-22,0,3
58,77469493,Benali,Mohcine,M,2001-12-29,0,2
59,35632193,Al-Hadri,Mounir,M,2001-07-28,0,5
60,87376313,Fikri,Ibrahim,M,2001-07-22,0,3
61,74557140,Haidari,Maya,F,2001-09-11,0,4
62,99754555,El-Kammouni,Salim,M,2001-07-25,0,2
63,91299310,Maki,Chafik,M,2001-08-08,0,2
64,42903936,Tazi,Yassine,M,2001-07-21,0,1
65,58506985,Chennouf,Meriem,F,2001-06-12,0,5
66,17325324,Maha,Wafaa,F,2001-07-13,0,2
67,58065281,El-Atmani,Oumayma,F,2001-08-28,0,4
68,96189982,Al-Hossaini,Adil,M,2001-02-17,0,4
69,96480119,Toulal,Ibrahim,M,2001-08-21,0,3
70,13872520,Khabir,Imad,M,2001-01-02,0,3
