apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,17.31,False
86571027,Boussaid,Nabil,16.96,False
48314954,El-Solh,Marwa,16.33,False
24765703,Maki,Khalid,13.31,False
18808852,Hammani,Brahim,15.49,False
84232651,El-Khoury,Sana,14.49,False
73344998,El-Atmani,Samia,15.50,False
45630758,Marhaba,Hiba,15.14,False
32104335,Rabi,Faycal,11.90,True
14821288,Shami,Badr,15.96,False
13460694,El-Mekki,Mouna,8.99,True
82887662,Haddad,Imane,15.78,False
63423310,Chebbi,Nawel,16.10,False
29808454,Badi,Simo,14.05,False
39820660,Arbi,Dari,13.44,False
21792693,Ibrahim,Hajar,17.67,False
86296103,Benbrahim,Jana,13.77,False
87382499,Moussaoui,Hassan,18.67,False
96179908,Rahmouni,Hossam,12.00,True
91582485,El-Kherfi,Imad,15.63,False
32401798,Hibiri,Reda,13.63,False
11080710,Benno,Imad,13.18,False
11239483,Khabir,Samir,12.74,False
30045450,Hafidi,Salma,19.21,False
26719390,Essamadi,Soufiane,20.00,False
12264713,Al-Hossaini,Aicha,17.72,False
27394359,Djamel,Nasser,13.25,False
98959545,Marhaba,Rachida,19.13,False
43597017,Nadi,Kenza,17.04,False
24249276,Zarrouk,Fatima,19.53,False
15081603,Saghir,Kawtar,16.95,False
87864056,Aziz,Laila,18.00,False
47760602,Al-Karim,Aziz,18.10,False
64326138,Koulak,Zaid,12.00,True
69826039,El-Morabit,Wiam,13.82,False
36850169,Brouz,Hiba,18.37,False
79699714,Heraichi,Loubna,14.31,False
61710269,Oumahdi,Zaid,18.36,False
66235790,El-Attari,Rida,12.00,True
82762957,El-Mekki,Rania,14.68,False
11202232,El-Bay,Dari,13.63,False
57029277,El-Boughaz,Soufiane,16.15,False
23214183,Hasnaoui,Lahcen,10.83,True
65062657,El-Fassi,Rim,13.22,False
75268857,Zahiri,Leila,18.73,False
37429265,Khabir,Zaid,14.28,False
96181577,Khabir,Fatiha,18.66,False
73214757,Goussar,Nasser,15.12,False
12661105,Bennani,Ahmed,11.05,True
38678594,Anissi,Meryem,14.48,False
19889540,Omar,Amina,16.05,False
37633984,Rkia,Adil,14.77,False
24931511,El-Khoury,Walid,15.32,False
81947282,Lahiji,Khalid,13.95,False
24829753,Omar,Abdelaziz,13.51,False
98285652,El-Ouarzazi,Hana,18.05,False
18976276,Nadi,Wiam,14.37,False
98920700,El-Saadi,Hanane,14.96,False
28291458,Anissi,Mohcine,14.45,False
17278340,Maddouri,Malak,17.10,False
51763068,Ait-Lahcen,Samira,13.32,False
20000154,El-Hariri,Ismail,14.54,False
96525219,Chafik,Imane,13.94,False
44094596,Benkirane,Chafia,12.00,True
63086119,Khiari,Amina,12.00,True
71278102,Hasnaoui,Asmaa,15.65,False
36141545,Rizki,Abdelkader,11.35,True
27845587,Anouar,Leila,13.25,False
24538085,El-Ayadi,Dari,12.98,False
53434841,Sabri,Zaki,10.20,True
