apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,15.49,False
86571027,Boussaid,Nabil,19.78,False
48314954,El-Solh,Marwa,11.16,True
24765703,Maki,Khalid,15.71,False
18808852,Hammani,Brahim,14.19,False
84232651,El-Khoury,Sana,12.67,False
73344998,El-Atmani,Samia,13.31,False
45630758,Marhaba,Hiba,13.98,False
32104335,Rabi,Faycal,14.03,False
14821288,Shami,Badr,13.12,False
13460694,El-Mekki,Mouna,11.05,True
82887662,Haddad,Imane,18.91,False
63423310,Chebbi,Nawel,8.92,True
29808454,Badi,Simo,17.16,False
39820660,Arbi,Dari,12.00,True
21792693,Ibrahim,Hajar,12.00,True
86296103,Benbrahim,Jana,8.40,True
87382499,Moussaoui,Hassan,8.00,True
96179908,Rahmouni,Hossam,14.70,False
91582485,El-Kherfi,Imad,14.13,False
32401798,Hibiri,Reda,12.00,True
11080710,Benno,Imad,8.65,True
11239483,Khabir,Samir,16.43,False
30045450,Hafidi,Salma,12.00,True
26719390,Essamadi,Soufiane,11.11,True
12264713,Al-Hossaini,Aicha,10.24,True
27394359,Djamel,Nasser,12.53,False
98959545,Marhaba,Rachida,11.21,True
43597017,Nadi,Kenza,12.00,True
24249276,Zarrouk,Fatima,12.00,True
15081603,Saghir,Kawtar,12.00,True
87864056,Aziz,Laila,16.22,False
47760602,Al-Karim,Aziz,13.27,False
64326138,Koulak,Zaid,16.35,False
69826039,El-Morabit,Wiam,12.00,True
36850169,Brouz,Hiba,12.93,False
79699714,Heraichi,Loubna,15.82,False
61710269,Oumahdi,Zaid,11.82,True
66235790,El-Attari,Rida,14.20,False
82762957,El-Mekki,Rania,10.58,True
11202232,El-Bay,Dari,14.88,False
57029277,El-Boughaz,Soufiane,10.73,True
23214183,Hasnaoui,Lahcen,16.64,False
65062657,El-Fassi,Rim,14.50,False
75268857,Zahiri,Leila,12.00,True
37429265,Khabir,Zaid,14.04,False
96181577,Khabir,Fatiha,17.64,False
73214757,Goussar,Nasser,12.00,True
12661105,Bennani,Ahmed,13.22,False
38678594,Anissi,Meryem,15.48,False
19889540,Omar,Amina,15.02,False
37633984,Rkia,Adil,11.41,True
24931511,El-Khoury,Walid,8.81,True
81947282,Lahiji,Khalid,13.84,False
24829753,Omar,Abdelaziz,8.56,True
98285652,El-Ouarzazi,Hana,19.01,False
18976276,Nadi,Wiam,13.08,False
98920700,El-Saadi,Hanane,14.59,False
28291458,Anissi,Mohcine,15.63,False
17278340,Maddouri,Malak,13.94,False
51763068,Ait-Lahcen,Samira,12.00,True
20000154,El-Hariri,Ismail,9.66,True
96525219,Chafik,Imane,12.00,True
44094596,Benkirane,Chafia,12.99,False
63086119,Khiari,Amina,12.61,False
71278102,Hasnaoui,Asmaa,15.44,False
36141545,Rizki,Abdelkader,13.96,False
27845587,Anouar,Leila,11.23,True
24538085,El-Ayadi,Dari,14.59,False
53434841,Sabri,Zaki,16.43,False
