apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,15.65,False
86571027,Boussaid,Nabil,20.00,False
48314954,El-Solh,Marwa,12.00,True
24765703,Maki,Khalid,9.94,True
18808852,Hammani,Brahim,14.07,False
84232651,El-Khoury,Sana,12.00,True
73344998,El-Atmani,Samia,13.27,False
45630758,Marhaba,Hiba,14.71,False
32104335,Rabi,Faycal,10.14,True
14821288,Shami,Badr,15.97,False
13460694,El-Mekki,Mouna,11.52,True
82887662,Haddad,Imane,10.02,True
63423310,Chebbi,Nawel,13.92,False
29808454,Badi,Simo,12.00,True
39820660,Arbi,Dari,17.85,False
21792693,Ibrahim,Hajar,10.04,True
86296103,Benbrahim,Jana,12.00,True
87382499,Moussaoui,Hassan,15.34,False
96179908,Rahmouni,Hossam,13.90,False
91582485,El-Kherfi,Imad,10.97,True
32401798,Hibiri,Reda,13.52,False
11080710,Benno,Imad,16.83,False
11239483,Khabir,Samir,10.56,True
30045450,Hafidi,Salma,14.91,False
26719390,Essamadi,Soufiane,14.12,False
12264713,Al-Hossaini,Aicha,12.00,True
27394359,Djamel,Nasser,15.19,False
98959545,Marhaba,Rachida,11.04,True
43597017,Nadi,Kenza,13.12,False
24249276,Zarrouk,Fatima,11.22,True
15081603,Saghir,Kawtar,14.02,False
87864056,Aziz,Laila,14.06,False
47760602,Al-Karim,Aziz,12.00,True
64326138,Koulak,Zaid,8.86,True
69826039,El-Morabit,Wiam,13.42,False
36850169,Brouz,Hiba,11.30,True
79699714,Heraichi,Loubna,12.00,True
61710269,Oumahdi,Zaid,13.01,False
66235790,El-Attari,Rida,11.06,True
82762957,El-Mekki,Rania,14.48,False
11202232,El-Bay,Dari,10.13,True
57029277,El-Boughaz,Soufiane,8.88,True
23214183,Hasnaoui,Lahcen,12.00,True
65062657,El-Fassi,Rim,17.77,False
75268857,Zahiri,Leila,14.86,False
37429265,Khabir,Zaid,12.00,True
96181577,Khabir,Fatiha,16.78,False
73214757,Goussar,Nasser,10.35,True
12661105,Bennani,Ahmed,13.76,False
38678594,Anissi,Meryem,12.00,True
19889540,Omar,Amina,5.62,True
37633984,Rkia,Adil,12.50,False
24931511,El-Khoury,Walid,12.38,False
81947282,Lahiji,Khalid,12.34,False
24829753,Omar,Abdelaziz,12.45,False
98285652,El-Ouarzazi,Hana,14.68,False
18976276,Nadi,Wiam,15.31,False
98920700,El-Saadi,Hanane,12.00,True
28291458,Anissi,Mohcine,10.11,True
17278340,Maddouri,Malak,13.33,False
51763068,Ait-Lahcen,Samira,8.35,True
20000154,El-Hariri,Ismail,14.02,False
96525219,Chafik,Imane,12.00,True
44094596,Benkirane,Chafia,14.12,False
63086119,Khiari,Amina,13.27,False
71278102,Hasnaoui,Asmaa,12.00,True
36141545,Rizki,Abdelkader,12.26,False
27845587,Anouar,Leila,10.28,True
24538085,El-Ayadi,Dari,13.43,False
53434841,Sabri,Zaki,13.67,False
