apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,12.00,True
86571027,Boussaid,Nabil,10.16,True
48314954,El-Solh,Marwa,16.14,False
24765703,Maki,Khalid,13.27,False
18808852,Hammani,Brahim,17.05,False
84232651,El-Khoury,Sana,15.14,False
73344998,El-Atmani,Samia,13.90,False
45630758,Marhaba,Hiba,14.74,False
32104335,Rabi,Faycal,12.00,True
14821288,Shami,Badr,13.39,False
13460694,El-Mekki,Mouna,8.19,True
82887662,Haddad,Imane,11.18,True
63423310,Chebbi,Nawel,12.00,True
29808454,Badi,Simo,12.81,False
39820660,Arbi,Dari,13.88,False
21792693,Ibrahim,Hajar,9.94,True
86296103,Benbrahim,Jana,14.76,False
87382499,Moussaoui,Hassan,11.27,True
96179908,Rahmouni,Hossam,12.81,False
91582485,El-Kherfi,Imad,13.04,False
32401798,Hibiri,Reda,14.31,False
11080710,Benno,Imad,15.38,False
11239483,Khabir,Samir,14.19,False
30045450,Hafidi,Salma,13.15,False
26719390,Essamadi,Soufiane,13.96,False
12264713,Al-Hossaini,Aicha,15.05,False
27394359,Djamel,Nasser,14.39,False
98959545,Marhaba,Rachida,13.19,False
43597017,Nadi,Kenza,10.92,True
24249276,Zarrouk,Fatima,13.28,False
15081603,Saghir,Kawtar,10.82,True
87864056,Aziz,Laila,12.72,False
47760602,Al-Karim,Aziz,12.00,True
64326138,Koulak,Zaid,14.92,False
69826039,El-Morabit,Wiam,12.36,False
36850169,Brouz,Hiba,11.46,True
79699714,Heraichi,Loubna,13.28,False
61710269,Oumahdi,Zaid,12.00,True
66235790,El-Attari,Rida,12.00,True
82762957,El-Mekki,Rania,14.36,False
11202232,El-Bay,Dari,14.72,False
57029277,El-Boughaz,Soufiane,12.30,False
23214183,Hasnaoui,Lahcen,14.33,False
65062657,El-Fassi,Rim,10.24,True
75268857,Zahiri,Leila,14.81,False
37429265,Khabir,Zaid,17.90,False
96181577,Khabir,Fatiha,12.00,True
73214757,Goussar,Nasser,13.06,False
12661105,Bennani,Ahmed,12.00,True
38678594,Anissi,Meryem,16.76,False
19889540,Omar,Amina,10.99,True
37633984,Rkia,Adil,14.65,False
24931511,El-Khoury,Walid,11.71,True
81947282,Lahiji,Khalid,12.00,True
24829753,Omar,Abdelaziz,14.05,False
98285652,El-Ouarzazi,Hana,12.00,True
18976276,Nadi,Wiam,17.34,False
98920700,El-Saadi,Hanane,12.37,False
28291458,Anissi,Mohcine,8.70,True
17278340,Maddouri,Malak,12.00,True
51763068,Ait-Lahcen,Samira,10.63,True
20000154,El-Hariri,Ismail,11.66,True
96525219,Chafik,Imane,14.15,False
44094596,Benkirane,Chafia,11.74,True
63086119,Khiari,Amina,10.34,True
71278102,Hasnaoui,Asmaa,14.23,False
36141545,Rizki,Abdelkader,14.04,False
27845587,Anouar,Leila,11.30,True
24538085,El-Ayadi,Dari,13.39,False
53434841,Sabri,Zaki,11.71,True
