apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,13.28,False
86571027,Boussaid,Nabil,14.63,False
48314954,El-Solh,Marwa,11.62,True
24765703,Maki,Khalid,12.93,False
18808852,Hammani,Brahim,13.41,False
84232651,El-Khoury,Sana,15.03,False
73344998,El-Atmani,Samia,10.04,True
45630758,Marhaba,Hiba,11.25,True
32104335,Rabi,Faycal,10.74,True
14821288,Shami,Badr,14.20,False
13460694,El-Mekki,Mouna,12.84,False
82887662,Haddad,Imane,9.38,True
63423310,Chebbi,Nawel,12.27,False
29808454,Badi,Simo,14.46,False
39820660,Arbi,Dari,18.95,False
21792693,Ibrahim,Hajar,17.18,False
86296103,Benbrahim,Jana,11.66,True
87382499,Moussaoui,Hassan,12.00,True
96179908,Rahmouni,Hossam,13.25,False
91582485,El-Kherfi,Imad,15.99,False
32401798,Hibiri,Reda,12.00,True
11080710,Benno,Imad,11.72,True
11239483,Khabir,Samir,12.00,True
30045450,Hafidi,Salma,14.11,False
26719390,Essamadi,Soufiane,12.36,False
12264713,Al-Hossaini,Aicha,13.28,False
27394359,Djamel,Nasser,13.21,False
98959545,Marhaba,Rachida,12.00,True
43597017,Nadi,Kenza,14.87,False
24249276,Zarrouk,Fatima,12.65,False
15081603,Saghir,Kawtar,12.84,False
87864056,Aziz,Laila,16.04,False
47760602,Al-Karim,Aziz,14.27,False
64326138,Koulak,Zaid,12.51,False
69826039,El-Morabit,Wiam,14.77,False
36850169,Brouz,Hiba,15.73,False
79699714,Heraichi,Loubna,15.77,False
61710269,Oumahdi,Zaid,12.98,False
66235790,El-Attari,Rida,15.34,False
82762957,El-Mekki,Rania,14.06,False
11202232,El-Bay,Dari,13.31,False
57029277,El-Boughaz,Soufiane,15.64,False
23214183,Hasnaoui,Lahcen,12.00,True
65062657,El-Fassi,Rim,11.98,True
75268857,Zahiri,Leila,12.59,False
37429265,Khabir,Zaid,13.17,False
96181577,Khabir,Fatiha,12.00,True
73214757,Goussar,Nasser,14.51,False
12661105,Bennani,Ahmed,14.70,False
38678594,Anissi,Meryem,13.37,False
19889540,Omar,Amina,12.00,True
37633984,Rkia,Adil,14.35,False
24931511,El-Khoury,Walid,14.17,False
81947282,Lahiji,Khalid,14.46,False
24829753,Omar,Abdelaziz,14.55,False
98285652,El-Ouarzazi,Hana,15.46,False
18976276,Nadi,Wiam,12.92,False
98920700,El-Saadi,Hanane,12.99,False
28291458,Anissi,Mohcine,11.98,True
17278340,Maddouri,Malak,16.04,False
51763068,Ait-Lahcen,Samira,14.25,False
20000154,El-Hariri,Ismail,12.92,False
96525219,Chafik,Imane,13.29,False
44094596,Benkirane,Chafia,13.70,False
63086119,Khiari,Amina,9.10,True
71278102,Hasnaoui,Asmaa,13.75,False
36141545,Rizki,Abdelkader,15.98,False
27845587,Anouar,Leila,7.74,True
24538085,El-Ayadi,Dari,13.87,False
53434841,Sabri,Zaki,13.55,False
