apogee,nom,prenom,mark,rattrapage
42916912,Tawfik,Hiba,13.82,False
86571027,Boussaid,Nabil,12.37,False
48314954,El-Solh,Marwa,15.86,False
24765703,Maki,Khalid,13.46,False
18808852,Hammani,Brahim,14.19,False
84232651,El-Khoury,Sana,7.08,True
73344998,El-Atmani,Samia,12.00,True
45630758,Marhaba,Hiba,10.63,True
32104335,Rabi,Faycal,12.00,True
14821288,Shami,Badr,14.23,False
13460694,El-Mekki,Mouna,13.80,False
82887662,Haddad,Imane,11.72,True
63423310,Chebbi,Nawel,11.98,True
29808454,Badi,Simo,14.17,False
39820660,Arbi,Dari,14.69,False
21792693,Ibrahim,Hajar,14.59,False
86296103,Benbrahim,Jana,13.65,False
87382499,Moussaoui,Hassan,12.00,True
96179908,Rahmouni,Hossam,12.90,False
91582485,El-Kherfi,Imad,13.79,False
32401798,Hibiri,Reda,17.23,False
11080710,Benno,Imad,15.12,False
11239483,Khabir,Samir,12.00,True
30045450,Hafidi,Salma,12.00,True
26719390,Essamadi,Soufiane,13.81,False
12264713,Al-Hossaini,Aicha,8.27,True
27394359,Djamel,Nasser,14.06,False
98959545,Marhaba,Rachida,15.70,False
43597017,Nadi,Kenza,12.00,True
24249276,Zarrouk,Fatima,13.81,False
15081603,Saghir,Kawtar,15.15,False
87864056,Aziz,Laila,13.17,False
47760602,Al-Karim,Aziz,15.99,False
64326138,Koulak,Zaid,11.16,True
69826039,El-Morabit,Wiam,16.98,False
36850169,Brouz,Hiba,15.63,False
79699714,Heraichi,Loubna,14.16,False
61710269,Oumahdi,Zaid,13.59,False
66235790,El-Attari,Rida,15.53,False
82762957,El-Mekki,Rania,17.83,False
11202232,El-Bay,Dari,11.37,True
57029277,El-Boughaz,Soufiane,11.23,True
23214183,Hasnaoui,Lahcen,12.00,True
65062657,El-Fassi,Rim,12.00,True
75268857,Zahiri,Leila,15.75,False
37429265,Khabir,Zaid,13.64,False
96181577,Khabir,Fatiha,17.35,False
73214757,Goussar,Nasser,13.62,False
12661105,Bennani,Ahmed,11.36,True
38678594,Anissi,Meryem,11.03,True
19889540,Omar,Amina,13.23,False
37633984,Rkia,Adil,14.46,False
24931511,El-Khoury,Walid,12.00,True
81947282,Lahiji,Khalid,13.24,False
24829753,Omar,Abdelaziz,14.30,False
98285652,El-Ouarzazi,Hana,12.38,False
18976276,Nadi,Wiam,9.96,True
98920700,El-Saadi,Hanane,16.01,False
28291458,Anissi,Mohcine,15.63,False
17278340,Maddouri,Malak,12.00,True
51763068,Ait-Lahcen,Samira,13.22,False
20000154,El-Hariri,Ismail,16.06,False
96525219,Chafik,Imane,15.08,False
44094596,Benkirane,Chafia,15.61,False
63086119,Khiari,Amina,12.00,True
71278102,Hasnaoui,Asmaa,13.92,False
36141545,Rizki,Abdelkader,12.60,False
27845587,Anouar,Leila,15.20,False
24538085,El-Ayadi,Dari,18.18,False
53434841,Sabri,Zaki,12.00,True
