apogee,nom,prenom,mark,rattrapage
34616207,Fattah,Rim,13.25,False
19637826,Didi,Samira,12.00,True
93875780,El-Fassi,Zaid,14.79,False
51455174,Al-Karim,Meryem,12.92,False
17469335,Faiyaz,Loubna,9.70,True
99319458,Rafik,Sofia,12.39,False
82110308,Al-Khiyari,Adil,14.76,False
57410840,Rifai,Abdelkader,17.53,False
37251789,Meriem,Mohammed,14.20,False
94410242,El-Hariri,Aziz,12.00,True
33760418,El-Moudden,Adil,18.01,False
78341217,Ramdani,Rida,11.89,True
44215015,Boudiaf,Rania,14.54,False
87605502,El-Fassi,Samira,12.00,True
83585814,Jabari,Fatiha,19.42,False
28787964,El-Mekki,Samira,17.36,False
98718806,El-Bekkali,Anissa,12.99,False
77246649,Ibrahim,Nour,14.63,False
89549000,El-Soufi,Jawad,12.00,True
85025973,Saib,Widad,11.66,True
42266475,Goussar,Leila,12.37,False
61280824,Hassani,Hicham,12.00,True
73291210,El-Rahmani,Hassan,13.48,False
47317280,El-Solh,Rachid,14.33,False
39357613,Tahiri,Yasmine,13.87,False
29684908,El-Ayyad,Zine,13.14,False
62505279,Zayed,Kawtar,12.66,False
64879518,Berrah,Ibrahim,13.43,False
73225518,El-Mekki,Jawad,17.03,False
41448344,Oukhira,Samira,13.00,False
60753689,Daoudi,Khadija,15.66,False
86978042,Anas,Ahmed,12.00,True
96424042,El-Basri,Younes,16.08,False
38637708,Idrisi,Hossam,17.79,False
98313058,Lahiji,Wafaa,12.00,True
57830356,El-Massiri,Chafik,12.00,True
87371199,Kebdani,Jawad,13.31,False
26657301,Houri,Faycal,12.00,True
39977151,Hasnaoui,Rida,16.82,False
14440749,Sboui,Hanae,13.78,False
65728165,Anouar,Jawad,13.04,False
85620120,Boudiaf,Youssef,11.49,True
74227007,El-Saadi,Israa,16.24,False
90871815,Bennani,Meriem,15.08,False
79451885,Rizki,Meriem,5.80,True
33065981,Rabi,Sara,14.04,False
97360616,Al-Fadli,Karim,18.71,False
14535472,EL-OTMANI,Wissal,14.92,False
27335462,Hafidi,Layla,12.97,False
79316340,Sabri,Omar,14.29,False
45668142,Haddouchi,Mouna,12.00,True
33737277,El-Khoury,Hicham,12.93,False
19802515,Anouar,Rachid,16.53,False
98943925,Faiyaz,Mounir,15.10,False
67950163,Khabir,Mohammed,11.38,True
68967594,Fattah,Husain,11.46,True
48975558,Ouazzani,Zahra,15.85,False
39954525,Moutaouakkil,Fatiha,15.48,False
54738343,Lahrichi,Meriem,12.40,False
51142308,El-Bay,Maha,10.49,True
11535043,Houri,Fatima,13.88,False
46880161,Moussaoui,Hajar,16.18,False
86844940,Berouane,Hanane,12.83,False
58117482,Ouarzazi,Samia,16.49,False
44994769,Benbihi,Anas,15.24,False
45270255,Haidari,Badr,14.90,False
57618319,Zouaoui,Najia,16.07,False
45315957,Amari,Yahya,14.07,False
66004615,El-Aissawi,Yousra,15.02,False
70118703,Fattah,Rim,14.20,False
