apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
34616207,Fattah,Rim,10.99,True,11.24,10.74
19637826,Didi,Samira,12.79,False,13.18,12.40
93875780,El-Fassi,Zaid,15.00,False,15.66,14.34
51455174,Al-Karim,Meryem,12.29,False,10.62,13.96
17469335,Faiyaz,Loubna,13.50,False,14.14,12.87
99319458,Rafik,Sofia,11.27,True,12.56,9.97
82110308,Al-Khiyari,Adil,13.66,False,13.14,14.17
57410840,Rifai,Abdelkader,15.41,False,17.56,13.26
37251789,Meriem,Mohammed,10.43,True,9.46,11.40
94410242,El-Hariri,Aziz,11.35,True,11.38,11.32
33760418,El-Moudden,Adil,11.20,True,12.00,10.40
78341217,Ramdani,Rida,10.75,True,12.55,8.95
44215015,Boudiaf,Rania,12.00,True,12.00,12.00
87605502,El-Fassi,Samira,9.28,True,9.84,8.71
83585814,Jabari,Fatiha,13.92,False,14.05,13.79
28787964,El-Mekki,Samira,13.54,False,13.50,13.57
98718806,El-Bekkali,Anissa,10.96,True,12.00,9.92
77246649,Ibrahim,Nour,11.82,True,11.64,12.00
89549000,El-Soufi,Jawad,11.66,True,12.72,10.60
85025973,Saib,Widad,13.68,False,14.92,12.43
42266475,Goussar,Leila,12.95,False,14.06,11.83
61280824,Hassani,Hicham,12.89,False,13.01,12.77
73291210,El-Rahmani,Hassan,15.32,False,16.29,14.36
47317280,El-Solh,Rachid,13.80,False,15.03,12.58
39357613,Tahiri,Yasmine,11.68,True,9.10,14.26
29684908,El-Ayyad,Zine,13.96,False,12.00,15.91
62505279,Zayed,Kawtar,13.72,False,15.45,12.00
64879518,Berrah,Ibrahim,16.67,False,14.89,18.45
73225518,El-Mekki,Jawad,12.29,False,13.11,11.47
41448344,Oukhira,Samira,13.01,False,14.80,11.21
60753689,Daoudi,Khadija,11.29,True,10.89,11.69
86978042,Anas,Ahmed,9.78,True,7.55,12.00
96424042,El-Basri,Younes,10.91,True,11.27,10.56
38637708,Idrisi,Hossam,12.62,False,11.15,14.10
98313058,Lahiji,Wafaa,12.47,False,12.48,12.46
57830356,El-Massiri,Chafik,12.71,False,12.00,13.43
87371199,Kebdani,Jawad,11.81,True,11.37,12.26
26657301,Houri,Faycal,14.09,False,14.11,14.07
39977151,Hasnaoui,Rida,11.61,True,12.00,11.21
14440749,Sboui,Hanae,11.71,True,9.42,14.00
65728165,Anouar,Jawad,10.50,True,12.81,8.19
85620120,Boudiaf,Youssef,14.44,False,14.23,14.64
74227007,El-Saadi,Israa,14.05,False,12.56,15.54
90871815,Bennani,Meriem,12.00,False,12.00,12.00
79451885,Rizki,Meriem,12.64,False,12.00,13.28
33065981,Rabi,Sara,14.00,False,14.99,13.01
97360616,Al-Fadli,Karim,12.57,False,11.34,13.80
14535472,EL-OTMANI,Wissal,10.42,True,12.00,8.84
27335462,Hafidi,Layla,9.95,True,11.33,8.57
79316340,Sabri,Omar,11.72,True,9.43,14.02
45668142,Haddouchi,Mouna,13.02,False,12.98,13.05
33737277,El-Khoury,Hicham,13.82,False,15.65,12.00
19802515,Anouar,Rachid,12.53,False,13.05,12.00
98943925,Faiyaz,Mounir,11.25,True,12.52,9.98
67950163,Khabir,Mohammed,13.02,False,12.00,14.03
68967594,Fattah,Husain,11.14,True,11.54,10.75
48975558,Ouazzani,Zahra,14.25,False,16.92,11.58
39954525,Moutaouakkil,Fatiha,13.09,False,12.00,14.18
54738343,Lahrichi,Meriem,12.00,False,12.00,12.00
51142308,El-Bay,Maha,12.65,False,12.67,12.63
11535043,Houri,Fatima,12.73,False,11.88,13.57
46880161,Moussaoui,Hajar,14.26,False,12.88,15.63
86844940,Berouane,Hanane,11.41,True,14.17,8.64
58117482,Ouarzazi,Samia,11.30,True,9.84,12.77
44994769,Benbihi,Anas,14.44,False,14.55,14.32
45270255,Haidari,Badr,14.72,False,14.72,14.72
57618319,Zouaoui,Najia,12.76,False,13.52,12.00
45315957,Amari,Yahya,14.45,False,13.87,15.02
66004615,El-Aissawi,Yousra,12.73,False,13.97,11.49
70118703,Fattah,Rim,12.21,False,12.43,12.00
