apogee,nom,prenom,mark,rattrapage
20941491,Berouane,Imad,12.00,True
13908485,Haddad,Sanaa,14.71,False
70749294,Rifai,Walid,13.17,False
64827661,Taoufiq,Maya,11.84,True
41874193,Saoud,Rim,15.92,False
75064561,El-Abbadi,Samira,12.00,True
47418293,Derraz,Tarek,9.71,True
54242615,El-Mohammadi,Mounir,13.92,False
84064976,Chennouf,Karim,11.44,True
42353519,El-Soufi,Salma,9.39,True
85974855,Ait-Sidi,Dounia,13.22,False
23262786,Haddad,Najia,15.79,False
17113999,Akil,Ahmed,14.58,False
32832814,Barjawi,Laila,11.92,True
50527881,El-Mekki,Mouna,15.42,False
92635400,Ouchrif,Rim,14.36,False
45226735,Bounou,Amine,10.80,True
37960196,Madani,Adil,13.97,False
88627569,Zikhri,Rachida,12.00,True
96515314,Tayeb,Laila,15.60,False
41270756,Anas,Dounia,12.66,False
70257982,Rkik,Amal,10.62,True
94440660,Ragheb,Simo,13.17,False
16732244,Saoud,Wiam,12.72,False
26203322,Berrah,Hanane,10.03,True
68291609,Zayed,Soufiane,12.00,True
79921153,El-Kherfi,Nawal,16.29,False
76548685,Lahrichi,Ahmed,13.51,False
55076873,Benslimane,Khalid,13.52,False
21277377,El-Ouarzazi,Nabil,12.00,True
58549042,Fakir,Youssef,11.74,True
16076220,Idriss,Zaid,10.48,True
94522614,Benbihi,Siham,12.00,True
97670802,Omar,Brahim,13.09,False
65512566,Rifai,Aicha,15.26,False
69551971,Heraichi,Rida,8.22,True
13216528,Zine,Mouna,12.00,True
10822906,Djari,Simo,14.24,False
65038424,Maid,Malika,13.87,False
50184447,Al-Khiyari,Sana,12.00,True
37892945,El-Basri,Asmaa,11.74,True
15172091,Al-Hadri,Othman,12.30,False
35155994,Derraz,Mouna,8.45,True
38970927,Fakir,Anas,15.29,False
16879010,Cherkaoui,Nawal,14.03,False
73756662,El-Solh,Karim,10.51,True
64980812,Akla,Mohammed,15.25,False
67071037,Akla,Ahmed,11.87,True
18376313,Badi,Samir,12.00,True
50098952,Fassi,Loubna,15.68,False
30033194,El-Khoury,Rim,19.45,False
27913369,Toulal,Amal,14.40,False
97515223,Haddad,Salma,14.20,False
69099806,Nadi,Walid,13.95,False
88779034,Faiyaz,Brahim,13.46,False
63040595,Brahimi,Abdelkader,12.82,False
99651206,Lahrichi,Rania,12.00,True
83308026,El-Kawthar,Mohammed,13.69,False
37513908,Yachou,Rachid,14.64,False
10496558,El-Ouarzazi,Hossam,11.26,True
24959741,Rkik,Rania,14.08,False
43383383,Toulal,Bilal,8.81,True
58736586,Salhi,Salma,11.97,True
79729955,Fassi,Saber,13.04,False
49038114,El-Attari,Brahim,14.00,False
85049207,Haidari,Fadoua,15.07,False
68179448,Zanate,Soufiane,11.58,True
16614245,Zikhri,Mouna,12.41,False
67752692,El-Khader,Mohammed,5.86,True
60626594,Rahmouni,Hassan,12.00,True
