apogee,nom,prenom,mark,rattrapage
20941491,Berouane,Imad,14.18,False
13908485,Haddad,Sanaa,15.60,False
70749294,Rifai,Walid,11.13,True
64827661,Taoufiq,Maya,8.85,True
41874193,Saoud,Rim,18.66,False
75064561,El-Abbadi,Samira,10.75,True
47418293,Derraz,Tarek,16.64,False
54242615,El-Mohammadi,Mounir,10.81,True
84064976,Chennouf,Karim,14.02,False
42353519,El-Soufi,Salma,10.14,True
85974855,Ait-Sidi,Dounia,13.70,False
23262786,Haddad,Najia,14.55,False
17113999,Akil,Ahmed,13.13,False
32832814,Barjawi,Laila,13.80,False
50527881,El-Mekki,Mouna,9.10,True
92635400,Ouchrif,Rim,11.94,True
45226735,Bounou,Amine,10.95,True
37960196,Madani,Adil,15.10,False
88627569,Zikhri,Rachida,14.92,False
96515314,Tayeb,Laila,14.17,False
41270756,Anas,Dounia,12.00,True
70257982,Rkik,Amal,14.48,False
94440660,Ragheb,Simo,15.17,False
16732244,Saoud,Wiam,15.80,False
26203322,Berrah,Hanane,10.28,True
68291609,Zayed,Soufiane,7.29,True
79921153,El-Kherfi,Nawal,11.15,True
76548685,Lahrichi,Ahmed,13.52,False
55076873,Benslimane,Khalid,13.97,False
21277377,El-Ouarzazi,Nabil,15.84,False
58549042,Fakir,Youssef,13.53,False
16076220,Idriss,Zaid,10.06,True
94522614,Benbihi,Siham,13.44,False
97670802,Omar,Brahim,13.02,False
65512566,Rifai,Aicha,13.12,False
69551971,Heraichi,Rida,19.56,False
13216528,Zine,Mouna,10.97,True
10822906,Djari,Simo,11.59,True
65038424,Maid,Malika,12.00,True
50184447,Al-Khiyari,Sana,12.99,False
37892945,El-Basri,Asmaa,13.39,False
15172091,Al-Hadri,Othman,15.49,False
35155994,Derraz,Mouna,16.11,False
38970927,Fakir,Anas,12.00,True
16879010,Cherkaoui,Nawal,14.68,False
73756662,El-Solh,Karim,19.78,False
64980812,Akla,Mohammed,12.32,False
67071037,Akla,Ahmed,15.29,False
18376313,Badi,Samir,14.92,False
50098952,Fassi,Loubna,12.99,False
30033194,El-Khoury,Rim,11.97,True
27913369,Toulal,Amal,10.41,True
97515223,Haddad,Salma,12.83,False
69099806,Nadi,Walid,11.27,True
88779034,Faiyaz,Brahim,15.75,False
63040595,Brahimi,Abdelkader,12.00,True
99651206,Lahrichi,Rania,14.86,False
83308026,El-Kawthar,Mohammed,12.00,True
37513908,Yachou,Rachid,12.00,True
10496558,El-Ouarzazi,Hossam,14.95,False
24959741,Rkik,Rania,13.76,False
43383383,Toulal,Bilal,9.65,True
58736586,Salhi,Salma,15.99,False
79729955,Fassi,Saber,15.43,False
49038114,El-Attari,Brahim,12.00,True
85049207,Haidari,Fadoua,17.54,False
68179448,Zanate,Soufiane,10.22,True
16614245,Zikhri,Mouna,13.47,False
67752692,El-Khader,Mohammed,14.17,False
60626594,Rahmouni,Hassan,11.07,True
