nom,prenom,apogee,cour9,cour10,cour11,cour12,cour13,cour14,cour15,cour16,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16
Madani,Jana,56543637,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Ibrahim,Sara,76734250,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
Rabi,Tariq,26395541,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
Ibrahim,Majid,82066277,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
El-Ayadi,Kenza,39726198,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
Hassani,Riyad,50250753,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
Baddi,Meriem,75517876,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
Yachou,Chafik,95385608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El-Mekki,Anissa,61781706,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0
Maha,Wafaa,76062485,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1
Hiziri,Yasmina,21130864,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1
El-Khader,Rim,34262675,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Rafik,Imad,39460287,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
El-Moudden,Hiba,90848110,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
El-Mansouri,Samira,84756038,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Aziz,Meriem,11999322,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1
Meriem,Imad,85401905,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
Ouafi,Nadia,79346847,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1
Boussaid,Hassan,70607303,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1
Ouares,Kawtar,85514391,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
El-Ouarzazi,Oussama,20063150,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1
Khabir,Mohammed,51354867,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Brahimi,Ahmed,27793077,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Akoubri,Amina,61490452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbi,Imad,79191410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El-Soufi,Layla,58680937,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
Baddi,Yahya,34880409,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
Amrani,Amina,52874924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
El-Bay,Lahcen,59697631,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Hassani,Sabrina,65099366,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Tayeb,Widad,55205336,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
El-Bennani,Anas,21668998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
El-Aissawi,Hassan,49311076,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
Boussaidi,Mohcine,74575528,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1
Rafik,Marouane,68543472,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Moussaoui,Khadija,20588608,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
Goussar,Siham,56523133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Zayed,Aicha,27515549,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
Amrani,Amina,89538670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jouhari,Adil,94970503,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
El-Idrissi,Rania,82775854,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
