apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
56543637,Madani,Jana,12.84,False,13.02,12.65
76734250,Ibrahim,Sara,13.68,False,14.41,12.94
26395541,Rabi,Tariq,15.63,False,17.28,13.98
82066277,Ibrahim,Majid,11.19,True,10.38,12.00
39726198,El-Ayadi,Kenza,14.42,False,14.51,14.33
50250753,Hassani,Riyad,14.62,False,14.98,14.25
75517876,Baddi,Meriem,14.25,False,16.50,12.00
95385608,Yachou,Chafik,11.45,True,10.89,12.00
61781706,El-Mekki,Anissa,15.50,False,15.63,15.36
76062485,Maha,Wafaa,14.52,False,15.67,13.36
21130864,Hiziri,Yasmina,12.12,False,12.00,12.25
34262675,El-Khader,Rim,11.36,True,10.72,12.00
39460287,Rafik,Imad,17.16,False,14.31,20.00
90848110,El-Moudden,Hiba,13.87,False,12.00,15.74
84756038,El-Mansouri,Samira,13.18,False,14.37,12.00
11999322,Aziz,Meriem,13.23,False,10.72,15.75
85401905,Meriem,Imad,13.04,False,11.50,14.59
79346847,Ouafi,Nadia,14.92,False,14.48,15.36
70607303,Boussaid,Hassan,15.00,False,13.60,16.39
85514391,Ouares,Kawtar,12.49,False,12.98,12.00
20063150,El-Ouarzazi,Oussama,16.16,False,15.94,16.38
51354867,Khabir,Mohammed,11.38,True,12.00,10.75
27793077,Brahimi,Ahmed,16.24,False,17.45,15.03
61490452,Akoubri,Amina,12.38,False,12.00,12.77
79191410,Arbi,Imad,13.98,False,16.76,11.19
58680937,El-Soufi,Layla,13.63,False,15.27,12.00
34880409,Baddi,Yahya,12.63,False,11.17,14.10
52874924,Amrani,Amina,13.06,False,15.87,10.25
59697631,El-Bay,Lahcen,14.28,False,14.35,14.21
65099366,Hassani,Sabrina,12.83,False,14.19,11.47
55205336,Tayeb,Widad,12.00,True,12.00,12.00
21668998,El-Bennani,Anas,14.43,False,16.51,12.35
49311076,El-Aissawi,Hassan,15.76,False,15.38,16.14
74575528,Boussaidi,Mohcine,11.22,True,10.44,12.00
68543472,Rafik,Marouane,14.93,False,15.79,14.06
20588608,Moussaoui,Khadija,12.33,False,12.00,12.66
56523133,Goussar,Siham,15.05,False,13.92,16.18
27515549,Zayed,Aicha,15.93,False,15.72,16.15
89538670,Amrani,Amina,10.42,True,8.84,12.00
94970503,Jouhari,Adil,13.09,False,12.00,14.19
82775854,El-Idrissi,Rania,13.30,False,12.56,14.05
97435215,Marhaba,Rachida,11.35,True,10.70,12.00
58865474,Dahbi,Ibrahim,17.31,False,18.00,16.63
73323574,Hassan,Walid,18.07,False,16.64,19.50
82566381,Oukhira,Jawad,13.77,False,12.95,14.58
43824985,Zine,Othman,16.55,False,13.11,20.00
66171097,Tazi,Hassan,16.91,False,14.15,19.66
61325260,Djamel,Layla,13.46,False,14.09,12.82
93943030,Mokhtar,Hanane,13.46,False,12.00,14.92
93359048,Atfi,Anissa,15.16,False,17.73,12.60
98018629,Cherkaoui,Jana,12.13,False,12.40,11.86
63763012,Lahouari,Bilal,14.16,False,14.14,14.18
12604122,Amrani,Ismail,14.92,False,15.00,14.84
46282529,El-Mohammadi,Layla,13.86,False,13.27,14.45
46711143,Chouki,Hanae,12.00,False,12.00,12.00
18611733,Akoubri,Siham,8.96,True,5.92,12.00
45184379,Nadi,Fatima,12.98,False,13.97,12.00
70929613,Al-Fadli,Riyad,15.86,False,14.07,17.64
67899720,Bounou,Nasser,12.96,False,13.91,12.00
87659263,Akil,Rania,14.64,False,14.59,14.70
51764635,El-Morrabit,Fatima,18.02,False,18.56,17.49
35941282,El-Alaoui,Yahya,12.45,False,12.90,12.00
15633439,Jouhari,Rachid,10.02,True,8.10,11.94
14947992,Maid,Malak,10.56,True,7.39,13.74
57155087,Aziz,Dari,14.54,False,17.09,12.00
48673398,Belaid,Sami,12.39,False,12.79,12.00
79453784,El-Rahmani,Rachid,13.72,False,13.41,14.04
70364441,Hammani,Jawad,13.01,False,12.00,14.02
16433245,Oumahdi,Fatima,15.14,False,15.75,14.54
99931124,Taoufiq,Meriem,13.02,False,12.00,14.03
