apogee,nom,prenom,mark,rattrapage
56543637,Madani,Jana,18.13,False
76734250,Ibrahim,Sara,17.22,False
26395541,Rabi,Tariq,11.65,True
82066277,Ibrahim,Majid,11.08,True
39726198,El-Ayadi,Kenza,12.00,True
50250753,Hassani,Riyad,13.12,False
75517876,Baddi,Meriem,12.00,True
95385608,Yachou,Chafik,14.13,False
61781706,El-Mekki,Anissa,15.26,False
76062485,Maha,Wafaa,14.78,False
21130864,Hiziri,Yasmina,15.25,False
34262675,El-Khader,Rim,12.92,False
39460287,Rafik,Imad,13.89,False
90848110,El-Moudden,Hiba,9.14,True
84756038,El-Mansouri,Samira,16.09,False
11999322,Aziz,Meriem,12.79,False
85401905,Meriem,Imad,13.90,False
79346847,Ouafi,Nadia,12.00,True
70607303,Boussaid,Hassan,12.26,False
85514391,Ouares,Kawtar,15.82,False
20063150,El-Ouarzazi,Oussama,9.67,True
51354867,Khabir,Mohammed,13.53,False
27793077,Brahimi,Ahmed,15.44,False
61490452,Akoubri,Amina,12.38,False
79191410,Arbi,Imad,12.00,True
58680937,El-Soufi,Layla,12.93,False
34880409,Baddi,Yahya,16.32,False
52874924,Amrani,Amina,13.17,False
59697631,El-Bay,Lahcen,16.96,False
65099366,Hassani,Sabrina,13.87,False
55205336,Tayeb,Widad,12.92,False
21668998,El-Bennani,Anas,11.27,True
49311076,El-Aissawi,Hassan,12.00,True
74575528,Boussaidi,Mohcine,13.52,False
68543472,Rafik,Marouane,9.46,True
20588608,Moussaoui,Khadija,15.78,False
56523133,Goussar,Siham,12.81,False
27515549,Zayed,Aicha,13.71,False
89538670,Amrani,Amina,11.89,True
94970503,Jouhari,Adil,13.27,False
82775854,El-Idrissi,Rania,14.96,False
97435215,Marhaba,Rachida,13.16,False
58865474,Dahbi,Ibrahim,10.21,True
73323574,Hassan,Walid,10.51,True
82566381,Oukhira,Jawad,11.94,True
43824985,Zine,Othman,20.00,False
66171097,Tazi,Hassan,12.00,True
61325260,Djamel,Layla,12.80,False
93943030,Mokhtar,Hanane,12.65,False
93359048,Atfi,Anissa,14.31,False
98018629,Cherkaoui,Jana,14.39,False
63763012,Lahouari,Bilal,13.74,False
12604122,Amrani,Ismail,9.64,True
46282529,El-Mohammadi,Layla,12.36,False
46711143,Chouki,Hanae,12.00,True
18611733,Akoubri,Siham,11.66,True
45184379,Nadi,Fatima,10.48,True
70929613,Al-Fadli,Riyad,12.00,True
67899720,Bounou,Nasser,14.48,False
87659263,Akil,Rania,13.61,False
51764635,El-Morrabit,Fatima,10.28,True
35941282,El-Alaoui,Yahya,13.83,False
15633439,Jouhari,Rachid,12.83,False
14947992,Maid,Malak,13.69,False
57155087,Aziz,Dari,14.47,False
48673398,Belaid,Sami,12.00,True
79453784,El-Rahmani,Rachid,11.42,True
70364441,Hammani,Jawad,13.08,False
16433245,Oumahdi,Fatima,13.95,False
99931124,Taoufiq,Meriem,12.60,False
