apogee,nom,prenom,mark,rattrapage
56543637,Madani,Jana,14.38,False
76734250,Ibrahim,Sara,14.10,False
26395541,Rabi,Tariq,12.00,True
82066277,Ibrahim,Majid,11.73,True
39726198,El-Ayadi,Kenza,10.59,True
50250753,Hassani,Riyad,11.43,True
75517876,Baddi,Meriem,10.48,True
95385608,Yachou,Chafik,12.84,False
61781706,El-Mekki,Anissa,11.39,True
76062485,Maha,Wafaa,14.31,False
21130864,Hiziri,Yasmina,10.79,True
34262675,El-Khader,Rim,14.07,False
39460287,Rafik,Imad,17.44,False
90848110,El-Moudden,Hiba,12.63,False
84756038,El-Mansouri,Samira,9.73,True
11999322,Aziz,Meriem,15.85,False
85401905,Meriem,Imad,13.09,False
79346847,Ouafi,Nadia,12.00,True
70607303,Boussaid,Hassan,15.90,False
85514391,Ouares,Kawtar,15.41,False
20063150,El-Ouarzazi,Oussama,14.79,False
51354867,Khabir,Mohammed,14.75,False
27793077,Brahimi,Ahmed,15.44,False
61490452,Akoubri,Amina,10.55,True
79191410,Arbi,Imad,14.06,False
58680937,El-Soufi,Layla,12.00,True
34880409,Baddi,Yahya,10.77,True
52874924,Amrani,Amina,11.19,True
59697631,El-Bay,Lahcen,9.13,True
65099366,Hassani,Sabrina,8.96,True
55205336,Tayeb,Widad,14.10,False
21668998,El-Bennani,Anas,10.62,True
49311076,El-Aissawi,Hassan,12.00,True
74575528,Boussaidi,Mohcine,9.75,True
68543472,Rafik,Marouane,14.50,False
20588608,Moussaoui,Khadija,12.00,True
56523133,Goussar,Siham,12.69,False
27515549,Zayed,Aicha,13.32,False
89538670,Amrani,Amina,12.74,False
94970503,Jouhari,Adil,12.00,True
82775854,El-Idrissi,Rania,14.50,False
97435215,Marhaba,Rachida,15.74,False
58865474,Dahbi,Ibrahim,12.95,False
73323574,Hassan,Walid,16.23,False
82566381,Oukhira,Jawad,13.09,False
43824985,Zine,Othman,14.33,False
66171097,Tazi,Hassan,12.00,True
61325260,Djamel,Layla,10.52,True
93943030,Mokhtar,Hanane,15.05,False
93359048,Atfi,Anissa,13.29,False
98018629,Cherkaoui,Jana,12.00,True
63763012,Lahouari,Bilal,13.07,False
12604122,Amrani,Ismail,11.07,True
46282529,El-Mohammadi,Layla,12.00,True
46711143,Chouki,Hanae,11.86,True
18611733,Akoubri,Siham,11.33,True
45184379,Nadi,Fatima,15.22,False
70929613,Al-Fadli,Riyad,12.77,False
67899720,Bounou,Nasser,16.89,False
87659263,Akil,Rania,16.46,False
51764635,El-Morrabit,Fatima,14.28,False
35941282,El-Alaoui,Yahya,14.76,False
15633439,Jouhari,Rachid,12.00,True
14947992,Maid,Malak,13.58,False
57155087,Aziz,Dari,11.31,True
48673398,Belaid,Sami,17.87,False
79453784,El-Rahmani,Rachid,16.34,False
70364441,Hammani,Jawad,17.79,False
16433245,Oumahdi,Fatima,14.11,False
99931124,Taoufiq,Meriem,9.64,True
