apogee,nom,prenom,mark,rattrapage
56543637,Madani,Jana,15.42,False
76734250,Ibrahim,Sara,15.05,False
26395541,Rabi,Tariq,12.00,True
82066277,Ibrahim,Majid,17.42,False
39726198,El-Ayadi,Kenza,15.35,False
50250753,Hassani,Riyad,15.77,False
75517876,Baddi,Meriem,9.82,True
95385608,Yachou,Chafik,14.19,False
61781706,El-Mekki,Anissa,14.64,False
76062485,Maha,Wafaa,18.01,False
21130864,Hiziri,Yasmina,15.82,False
34262675,El-Khader,Rim,12.00,True
39460287,Rafik,Imad,17.97,False
90848110,El-Moudden,Hiba,13.83,False
84756038,El-Mansouri,Samira,13.18,False
11999322,Aziz,Meriem,15.58,False
85401905,Meriem,Imad,16.39,False
79346847,Ouafi,Nadia,14.17,False
70607303,Boussaid,Hassan,14.29,False
85514391,Ouares,Kawtar,16.60,False
20063150,El-Ouarzazi,Oussama,15.55,False
51354867,Khabir,Mohammed,13.47,False
27793077,Brahimi,Ahmed,14.45,False
61490452,Akoubri,Amina,14.07,False
79191410,Arbi,Imad,12.00,True
58680937,El-Soufi,Layla,15.69,False
34880409,Baddi,Yahya,12.00,True
52874924,Amrani,Amina,15.94,False
59697631,El-Bay,Lahcen,12.63,False
65099366,Hassani,Sabrina,13.60,False
55205336,Tayeb,Widad,9.85,True
21668998,El-Bennani,Anas,12.25,False
49311076,El-Aissawi,Hassan,20.00,False
74575528,Boussaidi,Mohcine,17.80,False
68543472,Rafik,Marouane,14.08,False
20588608,Moussaoui,Khadija,13.55,False
56523133,Goussar,Siham,12.00,True
27515549,Zayed,Aicha,17.15,False
89538670,Amrani,Amina,12.00,True
94970503,Jouhari,Adil,19.26,False
82775854,El-Idrissi,Rania,19.50,False
97435215,Marhaba,Rachida,15.89,False
58865474,Dahbi,Ibrahim,15.15,False
73323574,Hassan,Walid,14.18,False
82566381,Oukhira,Jawad,17.55,False
43824985,Zine,Othman,15.76,False
66171097,Tazi,Hassan,12.00,True
61325260,Djamel,Layla,17.49,False
93943030,Mokhtar,Hanane,12.87,False
93359048,Atfi,Anissa,17.11,False
98018629,Cherkaoui,Jana,14.24,False
63763012,Lahouari,Bilal,13.28,False
12604122,Amrani,Ismail,14.28,False
46282529,El-Mohammadi,Layla,13.92,False
46711143,Chouki,Hanae,15.02,False
18611733,Akoubri,Siham,20.00,False
45184379,Nadi,Fatima,17.14,False
70929613,Al-Fadli,Riyad,14.72,False
67899720,Bounou,Nasser,17.08,False
87659263,Akil,Rania,16.01,False
51764635,El-Morrabit,Fatima,14.15,False
35941282,El-Alaoui,Yahya,16.07,False
15633439,Jouhari,Rachid,17.90,False
14947992,Maid,Malak,13.85,False
57155087,Aziz,Dari,12.00,True
48673398,Belaid,Sami,14.88,False
79453784,El-Rahmani,Rachid,17.18,False
70364441,Hammani,Jawad,19.67,False
16433245,Oumahdi,Fatima,12.88,False
99931124,Taoufiq,Meriem,17.11,False
