apogee,nom,prenom,mark,rattrapage
56543637,Madani,Jana,12.00,True
76734250,Ibrahim,Sara,13.47,False
26395541,Rabi,Tariq,14.02,False
82066277,Ibrahim,Majid,13.89,False
39726198,El-Ayadi,Kenza,12.00,True
50250753,Hassani,Riyad,15.26,False
75517876,Baddi,Meriem,10.84,True
95385608,Yachou,Chafik,11.32,True
61781706,El-Mekki,Anissa,12.00,True
76062485,Maha,Wafaa,13.41,False
21130864,Hiziri,Yasmina,12.00,True
34262675,El-Khader,Rim,13.82,False
39460287,Rafik,Imad,12.00,True
90848110,El-Moudden,Hiba,13.14,False
84756038,El-Mansouri,Samira,8.18,True
11999322,Aziz,Meriem,13.27,False
85401905,Meriem,Imad,11.51,True
79346847,Ouafi,Nadia,17.72,False
70607303,Boussaid,Hassan,14.57,False
85514391,Ouares,Kawtar,13.70,False
20063150,El-Ouarzazi,Oussama,12.62,False
51354867,Khabir,Mohammed,12.00,True
27793077,Brahimi,Ahmed,13.00,False
61490452,Akoubri,Amina,12.00,True
79191410,Arbi,Imad,11.37,True
58680937,El-Soufi,Layla,14.24,False
34880409,Baddi,Yahya,9.41,True
52874924,Amrani,Amina,8.77,True
59697631,El-Bay,Lahcen,12.00,True
65099366,Hassani,Sabrina,17.55,False
55205336,Tayeb,Widad,12.71,False
21668998,El-Bennani,Anas,12.00,True
49311076,El-Aissawi,Hassan,14.04,False
74575528,Boussaidi,Mohcine,13.74,False
68543472,Rafik,Marouane,13.10,False
20588608,Moussaoui,Khadija,12.00,True
56523133,Goussar,Siham,10.10,True
27515549,Zayed,Aicha,20.00,False
89538670,Amrani,Amina,11.15,True
94970503,Jouhari,Adil,12.32,False
82775854,El-Idrissi,Rania,12.00,True
97435215,Marhaba,Rachida,12.00,True
58865474,Dahbi,Ibrahim,11.69,True
73323574,Hassan,Walid,12.00,True
82566381,Oukhira,Jawad,15.90,False
43824985,Zine,Othman,12.00,True
66171097,Tazi,Hassan,13.24,False
61325260,Djamel,Layla,15.32,False
93943030,Mokhtar,Hanane,20.00,False
93359048,Atfi,Anissa,15.35,False
98018629,Cherkaoui,Jana,12.00,True
63763012,Lahouari,Bilal,14.73,False
12604122,Amrani,Ismail,13.43,False
46282529,El-Mohammadi,Layla,14.29,False
46711143,Chouki,Hanae,14.62,False
18611733,Akoubri,Siham,12.00,True
45184379,Nadi,Fatima,14.33,False
70929613,Al-Fadli,Riyad,10.65,True
67899720,Bounou,Nasser,13.76,False
87659263,Akil,Rania,12.00,True
51764635,El-Morrabit,Fatima,10.04,True
35941282,El-Alaoui,Yahya,10.72,True
15633439,Jouhari,Rachid,13.56,False
14947992,Maid,Malak,12.00,True
57155087,Aziz,Dari,15.39,False
48673398,Belaid,Sami,12.00,True
79453784,El-Rahmani,Rachid,16.89,False
70364441,Hammani,Jawad,14.16,False
16433245,Oumahdi,Fatima,9.04,True
99931124,Taoufiq,Meriem,10.43,True
