apogee,nom,prenom,mark,rattrapage
56543637,Madani,Jana,12.00,True
76734250,Ibrahim,Sara,17.73,False
26395541,Rabi,Tariq,17.56,False
82066277,Ibrahim,Majid,12.85,False
39726198,El-Ayadi,Kenza,11.87,True
50250753,Hassani,Riyad,10.64,True
75517876,Baddi,Meriem,14.08,False
95385608,Yachou,Chafik,14.19,False
61781706,El-Mekki,Anissa,14.74,False
76062485,Maha,Wafaa,12.37,False
21130864,Hiziri,Yasmina,12.99,False
34262675,El-Khader,Rim,13.40,False
39460287,Rafik,Imad,15.85,False
90848110,El-Moudden,Hiba,14.03,False
84756038,El-Mansouri,Samira,13.77,False
11999322,Aziz,Meriem,10.86,True
85401905,Meriem,Imad,20.00,False
79346847,Ouafi,Nadia,12.76,False
70607303,Boussaid,Hassan,16.58,False
85514391,Ouares,Kawtar,15.33,False
20063150,El-Ouarzazi,Oussama,13.77,False
51354867,Khabir,Mohammed,13.16,False
27793077,Brahimi,Ahmed,10.86,True
61490452,Akoubri,Amina,10.49,True
79191410,Arbi,Imad,8.94,True
58680937,El-Soufi,Layla,16.11,False
34880409,Baddi,Yahya,19.48,False
52874924,Amrani,Amina,11.44,True
59697631,El-Bay,Lahcen,13.51,False
65099366,Hassani,Sabrina,10.85,True
55205336,Tayeb,Widad,11.86,True
21668998,El-Bennani,Anas,15.25,False
49311076,El-Aissawi,Hassan,12.37,False
74575528,Boussaidi,Mohcine,10.95,True
68543472,Rafik,Marouane,15.68,False
20588608,Moussaoui,Khadija,12.00,True
56523133,Goussar,Siham,14.02,False
27515549,Zayed,Aicha,13.79,False
89538670,Amrani,Amina,12.65,False
94970503,Jouhari,Adil,13.87,False
82775854,El-Idrissi,Rania,15.87,False
97435215,Marhaba,Rachida,8.63,True
58865474,Dahbi,Ibrahim,13.47,False
73323574,Hassan,Walid,17.58,False
82566381,Oukhira,Jawad,15.74,False
43824985,Zine,Othman,12.69,False
66171097,Tazi,Hassan,14.72,False
61325260,Djamel,Layla,12.00,True
93943030,Mokhtar,Hanane,18.54,False
93359048,Atfi,Anissa,14.20,False
98018629,Cherkaoui,Jana,14.30,False
63763012,Lahouari,Bilal,12.00,True
12604122,Amrani,Ismail,13.56,False
46282529,El-Mohammadi,Layla,15.49,False
46711143,Chouki,Hanae,15.42,False
18611733,Akoubri,Siham,17.73,False
45184379,Nadi,Fatima,11.11,True
70929613,Al-Fadli,Riyad,14.01,False
67899720,Bounou,Nasser,15.13,False
87659263,Akil,Rania,16.58,False
51764635,El-Morrabit,Fatima,15.19,False
35941282,El-Alaoui,Yahya,10.84,True
15633439,Jouhari,Rachid,14.75,False
14947992,Maid,Malak,11.63,True
57155087,Aziz,Dari,14.01,False
48673398,Belaid,Sami,13.78,False
79453784,El-Rahmani,Rachid,13.67,False
70364441,Hammani,Jawad,17.53,False
16433245,Oumahdi,Fatima,20.00,False
99931124,Taoufiq,Meriem,15.50,False
